run_type,video_id,gt_name,categories,gen_nodes,gt_nodes,node_count_ratio,svc_precision,svc_recall,svc_f1,ms_precision,ms_recall,ms_f1,gen_edges,gt_edges,edge_precision,edge_recall,edge_f1,edge_type_accuracy,gen_workflows,gt_workflows,services_missing,services_hallucinated
Standard (data/graphs),8TExnSvZqt0,AxiomSL's RegCloud®️: Secure & Scalable Risk & Regulatory Reporting on AWS,other,11,11,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,9,0,0.0000,0.0000,0.0000,0.0000,3,0,,
Standard (data/graphs),Cgv0kfp_6xQ,Snap: Journey of a Snap on Snapchat Using AWS,interactive,10,10,1.0000,1.0000,1.0000,1.0000,0.9000,0.9000,0.9000,13,14,0.7692,0.7143,0.7407,0.8000,4,2,,
Standard (data/graphs),Kebb0LOVC28,Openfit: ChatOps with Slack and AWS Lambda,control,11,9,1.2222,1.0000,1.0000,1.0000,0.8182,1.0000,0.9000,17,21,0.4706,0.3810,0.4211,0.5000,3,3,,
Standard (data/graphs),QnmmTIYZxNI,Adobe: Simplifying Networking Across Thousands of AWS Accounts with AWS Transit Gateway LIVE,other,8,8,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,5,6,0.8000,0.6667,0.7273,1.0000,2,2,,
Standard (data/graphs),-3lnf5lzsH0,MakeMyTrip: Building Next Generation SOC,data_ingestion,14,13,1.0769,1.0000,0.9167,0.9565,0.8571,0.9231,0.8889,15,16,0.4000,0.3750,0.3871,0.8333,3,4,OnPremDC,
Standard (data/graphs),07lfvavMdfU,Levels Beyond: Digital Content Orchestration,data_ingestion,12,10,1.2000,0.9091,1.0000,0.9524,0.8333,1.0000,0.9091,14,14,0.7143,0.7143,0.7143,0.9000,3,7,,Lambda
Standard (data/graphs),6YkguepAQuQ,Aetion: Deploy Applications  Provision Cloud Resources with AWS Developer Tools,control,9,10,0.9000,1.0000,0.9000,0.9474,1.0000,0.9000,0.9474,8,10,0.3750,0.3000,0.3333,1.0000,2,3,VPC,
Standard (data/graphs),6EUknQqaV1w,CloudHealth by VMware: Secure State. Manages Over 50M Assets from Billions of Events on AWS,data_ingestion,11,9,1.2222,0.8750,1.0000,0.9333,0.8182,1.0000,0.9000,13,11,0.7692,0.9091,0.8333,0.8000,3,2,,SES
Standard (data/graphs),1aYoIZvabbk,OLX Autos: Building Developer Platform for Rapid Global Expansion,control,7,6,1.1667,0.8571,1.0000,0.9231,0.8571,1.0000,0.9231,9,5,0.4444,0.8000,0.5714,1.0000,1,1,,EC2
Standard (data/graphs),Felt-hOU6kU,Xero: Building a Scalable Self-Service Portal for Thousands of Developers Provisioning Resources,control,8,7,1.1429,0.8571,1.0000,0.9231,0.8750,1.0000,0.9333,8,4,0.5000,1.0000,0.6667,1.0000,2,1,,VPC
Standard (data/graphs),-wLEkq21cvA,Versent: The Migration Factory,control,9,9,1.0000,0.8333,1.0000,0.9091,0.8889,0.8889,0.8889,10,10,0.6000,0.6000,0.6000,0.3333,3,4,,OnPremDC
Standard (data/graphs),Ly_UhX3LCCs,AWS Solutions: Simple and Secure Media Exchange on AWS,other,7,7,1.0000,0.8000,1.0000,0.8889,0.7143,0.7143,0.7143,10,7,0.2000,0.2857,0.2353,1.0000,2,2,,UserCompanyAPI
Standard (data/graphs),2L0m28ZLmtE,Sanofi with TeamWork: OnDemand Data Science Environment,compute_intensive,15,13,1.1538,0.8462,0.9167,0.8800,0.8000,0.9231,0.8571,27,11,0.1481,0.3636,0.2105,1.0000,3,7,ThirdParty,"CloudFormation,UserCompanyAnalyst"
Standard (data/graphs),Pc7_uOdlGKo,Panasonic Avionics: Weather Data and ML Models Improve In-Flight Entertainment Customer Satisfaction,data_ingestion,9,9,1.0000,0.8750,0.8750,0.8750,0.8889,0.8889,0.8889,11,9,0.4545,0.5556,0.5000,1.0000,2,3,UserConsumerMobile,UserCompanyAnalyst
Standard (data/graphs),-kA0ahrhX3I,Oportun: Increasing the Accuracy of SensitiveData Discovery Using Amazon Macie,data_ingestion,11,9,1.2222,0.8571,0.8571,0.8571,0.7273,0.8889,0.8000,16,8,0.2500,0.5000,0.3333,1.0000,2,4,UserCompanyDeveloper,UserConsumerWeb
Standard (data/graphs),GoziWpmFCS0,iRobot: Serverless Data Cataloging for Data Scientists,data_ingestion,8,4,2.0000,0.7500,1.0000,0.8571,0.5000,1.0000,0.6667,10,2,0.1000,0.5000,0.1667,1.0000,3,1,,UserCompanyDataStream
Standard (data/graphs),NfUwtK8ALtw,MX Player: Achieving Massive Scalability Using Amazon EKS with Spot Instances,compute_intensive,9,9,1.0000,0.8571,0.8571,0.8571,0.8889,0.8889,0.8889,15,16,0.8000,0.7500,0.7742,1.0000,3,5,UserConsumerWeb,UserConsumerWebMobile
Standard (data/graphs),wjtSHyENv0I,"Main Street America Insurance: The Independent Agent Portal, Breaking up the Monolith",interactive,8,8,1.0000,0.8571,0.8571,0.8571,0.8750,0.8750,0.8750,16,14,0.6250,0.7143,0.6667,0.8000,2,2,UserConsumerWeb,UserCompanyAgent
Standard (data/graphs),OQKOHNtyz3E,Vodafone NZ: Data Driven Omni Channel Contact Center via Automation and Continuous Improvement,interactive,12,11,1.0909,0.8000,0.8889,0.8421,0.7500,0.8182,0.7826,18,24,0.6111,0.4583,0.5238,0.6364,3,6,UserConsumerMobile,"UserCompanyAnalyst,UserConsumerWebMobile"
Standard (data/graphs),2e3vOxsHekE,Mueller Water Products: A Water Intelligent Platform,data_ingestion,6,6,1.0000,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,6,6,0.6667,0.6667,0.6667,1.0000,2,2,UserConsumerEdge,UserConsumerIOT
Standard (data/graphs),D9qTotVJYss,HBO Max: Using Canaries for Outside-in Validation,data_ingestion,6,6,1.0000,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,9,10,0.4444,0.4000,0.4211,0.7500,2,2,UserCompanyAgent,UserCompanyInternalPlatform
Standard (data/graphs),AS2JeM2FUzE,Intellect Design Arena: Insurance Risk Assessment with Intellect FABRIC Data Services,"data_ingestion,interactive",8,9,0.8889,0.8750,0.7778,0.8235,0.8750,0.7778,0.8235,11,12,0.5455,0.5000,0.5217,0.8333,2,3,"UserConsumerWeb,VPCPeering",UserCompanyAnalyst
Standard (data/graphs),H_S7CxtHgSM,Raiffeisen Bank International: Automated Integration of OnPremises Key Management with AWS KMS,other,11,11,1.0000,0.7778,0.8750,0.8235,0.8182,0.8182,0.8182,17,12,0.4118,0.5833,0.4828,1.0000,3,4,UserCompanyAgent,"IAM,UserCompanyDeveloper"
Standard (data/graphs),0F7KDLz-kIQ,"Zigbang: A Hybrid API of Serverless and ECS, Infra as a Code via CDK",interactive,12,13,0.9231,0.8182,0.8182,0.8182,0.8333,0.7692,0.8000,20,28,0.4500,0.3214,0.3750,0.0000,2,2,"Fargate,UserConsumerWeb","ECS,UserConsumerWebMobile"
Standard (data/graphs),JiWHomdh1oI,Datacoral: Using Serverless to Create Data Pipelines,data_ingestion,7,7,1.0000,0.8000,0.8000,0.8000,0.8571,0.8571,0.8571,11,11,0.7273,0.7273,0.7273,0.6250,2,4,UserCompanyDataStream,OnPremDC
Standard (data/graphs),1xLjtJnfZes,MATTR: Building Digital Trust at Scale,interactive,7,8,0.8750,0.8571,0.7500,0.8000,0.8571,0.7500,0.8000,5,6,0.6000,0.5000,0.5455,1.0000,1,1,"UserCompanyDataStream,UserConsumerAPI",UserConsumerMobile
Standard (data/graphs),5EmA67lSJEs,Extreme Reach: The AdBridge Platform on AWS Handles 80%+ of all Commercials in the US,"compute_intensive,interactive",10,11,0.9091,0.8571,0.7500,0.8000,0.8000,0.7273,0.7619,12,20,0.5833,0.3500,0.4375,0.8571,3,6,"UserConsumerAPI,UserConsumerWeb",UserCompanyAgent
Standard (data/graphs),5f3z1Z_9BJA,Capgemini: Refactoring a Data Warehouse to Amazon Redshift,data_ingestion,12,11,1.0909,0.7500,0.8571,0.8000,0.6667,0.7273,0.6957,15,17,0.4000,0.3529,0.3750,0.8333,3,5,UserCompanyDataStream,"ThirdParty,UserCompanyAnalyst"
Standard (data/graphs),PgeQufaQy7I,"MindTickle: Building a Secure, Automated, Multi-Region Architecture on AWS",interactive,7,8,0.8750,0.8571,0.7500,0.8000,0.8571,0.7500,0.8000,6,8,0.8333,0.6250,0.7143,1.0000,1,1,"CloudFormation,UserConsumerWeb",UserConsumerWebMobile
Standard (data/graphs),Yju3yReAQtc,Fortinet Uses AWS Serverless to Provide a Highly Available ControlPlane for their FortiWeb CloudWAF,interactive,13,7,1.8571,0.7500,0.8571,0.8000,0.4615,0.8571,0.6000,13,7,0.3077,0.5714,0.4000,0.7500,4,2,UserCompanyInternalPlatform,"EC2,UserConsumerWeb"
Standard (data/graphs),7wBOFcP1HwA,Seera Group: Transforming Online Travel Booking with Microservices (Arabic),interactive,11,10,1.1000,0.7778,0.7778,0.7778,0.6364,0.7000,0.6667,17,10,0.3529,0.6000,0.4444,0.6667,3,3,"ThirdParty,UserConsumerWeb","EC2,UserConsumerWebMobile"
Standard (data/graphs),GJ1So_pbZWk,Taysols: Next Best Offer Recommendation System using Amazon SageMaker,data_ingestion,13,9,1.4444,0.7000,0.8750,0.7778,0.6154,0.8889,0.7273,15,23,0.6667,0.4348,0.5263,0.8000,4,3,UserConsumerWeb,"ApiGateway,UserCompanyAnalyst,UserConsumerWebMobile"
Standard (data/graphs),LxeSC3-xMlk,St. Louis University: Using Amazon Lex to Answer Students' Questions Through Alexa and a Mobile App,interactive,10,8,1.2500,0.7000,0.8750,0.7778,0.7000,0.8750,0.7778,22,15,0.4091,0.6000,0.4865,1.0000,3,2,UserConsumerMobile,"Lambda,UserCompanyDeveloper,UserConsumerWebMobile"
Standard (data/graphs),5vR5aN_xdI0,Splunk: Data at Scale by Decoupling Compute and Storage LIVE,data_ingestion,9,9,1.0000,0.8333,0.7143,0.7692,0.7778,0.7778,0.7778,10,10,0.5000,0.5000,0.5000,1.0000,5,2,"ThirdParty,UserConsumerAPI",UserCompanyDataStream
Standard (data/graphs),Jkx6kVbDpL4,Nielsen: Processing 55TB of Data Per Day with AWS Lambda,data_ingestion,12,13,0.9231,0.8333,0.7143,0.7692,0.8333,0.7692,0.8000,13,17,0.6923,0.5294,0.6000,0.7778,4,4,"UserCompanyAnalyst,UserCompanyDataStream",ThirdParty
Standard (data/graphs),OWLGK-eVrTw,Heimdall Data: Query Caching Without Code Changes,interactive,8,6,1.3333,0.7143,0.8333,0.7692,0.6250,0.8333,0.7143,10,16,0.1000,0.0625,0.0769,0.0000,2,2,UserConsumerAPI,"EC2,UserCompanyAPI"
Standard (data/graphs),6LcSv9XocTY,Intuit: Serving 7 Million Customers Using Amazon Connect,"data_ingestion,interactive",13,11,1.1818,0.6667,0.8889,0.7619,0.6923,0.8182,0.7500,16,18,0.5625,0.5000,0.5294,0.7778,3,4,UserConsumerWeb,"Kinesis,Lex,UserCompanyAgent,UserConsumerMobile"
Standard (data/graphs),QOtCpD23118,LeasePlan: Leverages Serverless to Increase Driver Safety Reduce Fleet Costs and Lower Risk,data_ingestion,11,11,1.0000,0.7500,0.7500,0.7500,0.8182,0.8182,0.8182,11,10,0.7273,0.8000,0.7619,1.0000,3,3,"ThirdParty,UserCompanyEdge","OnPremDC,UserConsumerIOT"
Standard (data/graphs),gpWR5JBC64A,FoodHub: Enabling Massive Scale Order Processing with Serverless Architecture,"data_ingestion,interactive",8,8,1.0000,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,12,6,0.4167,0.8333,0.5556,1.0000,3,2,"UserCompanyAgent,UserConsumerMobile","UserCompanyAnalyst,UserConsumerPOS"
