video_id,gt_title,link
1tGmQd0yOzE,Whirlpool: Resilient SAP on AWS,https://www.youtube.com/watch?v=1tGmQd0yOzE
4zVB5RbSTCo,Electroneum: Mobile Cryptocurrency Mining!,https://www.youtube.com/watch?v=4zVB5RbSTCo
5QbKp0LQaZo,GumGum Verity: Low Latency Contextual Analysis and Data Privacy at Scale on AWS Outposts,https://www.youtube.com/watch?v=5QbKp0LQaZo
66h7DrOEF5k,ABEJA: Building a Machine Learning Platform that Fully Utilizes Container Technologies Japanese,https://www.youtube.com/watch?v=66h7DrOEF5k
Bi-1xjXvKgs,tixCraft: Handling Millions of Ticketing Requests with AWS,https://www.youtube.com/watch?v=Bi-1xjXvKgs
D_4dsXVqzMs,Met Office: Building an Entirely Serverless National Severe Weather Warning System on AWS,https://www.youtube.com/watch?v=D_4dsXVqzMs
DxHO2TWVN8I,Equinix: Massive Data Ingest  Analytics with Serverless Cloud Application Architectures on AWS,https://www.youtube.com/watch?v=DxHO2TWVN8I
H51Ups01ZpU,AT&T: Bringing IoT to the Enterprise,https://www.youtube.com/watch?v=H51Ups01ZpU
HrYfdnPp6qs,STAX: AWS Automated Data Analytics,https://www.youtube.com/watch?v=HrYfdnPp6qs
Kp088QTRmLk,NewsUK: Rendering News Content with GraphQL and a Serverless Architecture,https://www.youtube.com/watch?v=Kp088QTRmLk
OmVQ6pNDbaY,Solarwinds: Monitoring Kubernetes Clusters on AWS,https://www.youtube.com/watch?v=OmVQ6pNDbaY
OuQvFd44vw4,econda GmbH: Building a RealTime Personalization Engine with Amazon Sagemaker and AWS ECS,https://www.youtube.com/watch?v=OuQvFd44vw4
R-DPMUjZEf4,Logicworks: HIPAA Compliance and SSL Termination with Thousands of Certificates,https://www.youtube.com/watch?v=R-DPMUjZEf4
SSWwnNVYi_Q,NHS Digital: From 137 Minutes to 137 Seconds Using EMR,https://www.youtube.com/watch?v=SSWwnNVYi_Q
StSuG6-iKW4,ThingCo: Billions of Data Points Per Day with a NextGeneration Serverless Telematics Platform,https://www.youtube.com/watch?v=StSuG6-iKW4
TTlyNWh0gjM,Zoho Site24x7: Building Scalable Realtime User Monitoring Systems on AWS,https://www.youtube.com/watch?v=TTlyNWh0gjM
U8xlmurP-6o,Simplex: Building a Scalable Serverless Cryptocurrency Platform,https://www.youtube.com/watch?v=U8xlmurP-6o
Vrx9csoawWc,FINRA: Petabyte-Scale Data Analysis on AWS,https://www.youtube.com/watch?v=Vrx9csoawWc
W5qVQr-n5M8,FICO: Fraud Detection and AntiMoney Laundering with AWS Lambda and AWS Step Functions,https://www.youtube.com/watch?v=W5qVQr-n5M8
Wk9mCHyjtBU,Veracode: Eliminating Application Security Bugs Through DevSecOps at Scale,https://www.youtube.com/watch?v=Wk9mCHyjtBU
YT21s0_ZJVQ,AMPOS: Managing Systems Across AWS Global Regions and China Regions,https://www.youtube.com/watch?v=YT21s0_ZJVQ
YjASp_VccmI,Vidsy: See How Vidsy Run Their Content Platform on AWS,https://www.youtube.com/watch?v=YjASp_VccmI
ZA_0RMeeWpY,Dome9: CloudBots Make Compliance Easy,https://www.youtube.com/watch?v=ZA_0RMeeWpY
ZsabzCVjkIk,Mikamai: Standard Architectures for Modern Web Applications Italian,https://www.youtube.com/watch?v=ZsabzCVjkIk
_iHahE9-0e8,This is My Architecture: Analytics Customer Spotlight,https://www.youtube.com/watch?v=_iHahE9-0e8
_pXybA6832o,Olikka: Self Service Hub with Alexa,https://www.youtube.com/watch?v=_pXybA6832o
a59halVklMI,Ashok Leyland: Running Telematics at Scale,https://www.youtube.com/watch?v=a59halVklMI
a6kqyqTNJM4,Seera Group: Transforming Online Travel Booking with Microservices,https://www.youtube.com/watch?v=a6kqyqTNJM4
aAYvbRhZFPo,Xero: Global Load Balancing for File Transfer Services LIVE,https://www.youtube.com/watch?v=aAYvbRhZFPo
aOY6YCpcjz8,HubSpot: Task Queueing System Built on top of Amazon SQS,https://www.youtube.com/watch?v=aOY6YCpcjz8
aOZ4H98XROc,Cyxtera: How to Enable Secure Zero Trust Access to AWS Resources  Hybrid Architectures,https://www.youtube.com/watch?v=aOZ4H98XROc
ameanoaMldM,Bristol-Myers Squibb: Enabling DevOps with AWS Service Catalog,https://www.youtube.com/watch?v=ameanoaMldM
amh7nzl32v4,Melco Resorts & Entertainment: Serverless Architecture Pattern for Melco Club Mobile App,https://www.youtube.com/watch?v=amh7nzl32v4
chQ1phTqvnY,Hi Res Cam: High Performance Object Detection with AWS Lambda Rekognition  TensorFlow German,https://www.youtube.com/watch?v=chQ1phTqvnY
cmlhEbm1kPk,DXC  Munich Re: Amazon Connect with AWS Machine Learning Services,https://www.youtube.com/watch?v=cmlhEbm1kPk
co4_t2gN1T8,AC3: Multi-stage Geospatial Data Lake with Step Functions (LIVE),https://www.youtube.com/watch?v=co4_t2gN1T8
dAQhNjwkOX8,Cation Consulting: How to Build a Scalable Chatbot and Deploy to Europe's Largest Airline,https://www.youtube.com/watch?v=dAQhNjwkOX8
dy-drIboyNA,Healthdirect Australia: Using AWS to Connect People with Healthcare,https://www.youtube.com/watch?v=dy-drIboyNA
e3N5ZuHh7G0,Wag: Deploying BlueGreen Architecture for Increased Availability and Reduced Risk,https://www.youtube.com/watch?v=e3N5ZuHh7G0
h0HE3bOEiMk,HDFC Life: Event Driven DataLake and Recovery,https://www.youtube.com/watch?v=h0HE3bOEiMk
hEB1J9-iOqs,BristolMyers Squibb: Embracing InfrastructureasCode with AWS and AutoPTP,https://www.youtube.com/watch?v=hEB1J9-iOqs
iSkWd31X7zo,TechConnect: Tech Powered Sports with IoT  Machine Learning,https://www.youtube.com/watch?v=iSkWd31X7zo
iwDNnyiD26M,Cedrus: Migrating a Legacy Application to a Serverless Ecosystem,https://www.youtube.com/watch?v=iwDNnyiD26M
jV8DwutbXbg,Tandem Bank: Processing Transaction Data using AWS Lambda with NLP,https://www.youtube.com/watch?v=jV8DwutbXbg
k7h0jpLcWdE,Carano Software Solutions: Accelerate Adoption of Microservices with Serverless,https://www.youtube.com/watch?v=k7h0jpLcWdE
l0hlxVNmJPI,eCloudvalley: Build Up An EnterpriseLevel IoT Platform In One Minute Mandarin,https://www.youtube.com/watch?v=l0hlxVNmJPI
l3f29v3IJGA,Arvind Internet: Building a Multichannel Multitenant Platform with Kubernetes on AWS,https://www.youtube.com/watch?v=l3f29v3IJGA
lA0lAgN0hTI,Irdeto: Multi DRM Solution with Kubernetes on Amazon EC2 and Amazon RDS,https://www.youtube.com/watch?v=lA0lAgN0hTI
lecbHMBD8KQ,Kaleido: Blockchain Cloud at AWS Speed,https://www.youtube.com/watch?v=lecbHMBD8KQ
m8CBJEyHKIM,Dream11: Building a Cost Effective Compute Model for Scaling Microservices,https://www.youtube.com/watch?v=m8CBJEyHKIM
m8xtR3-ZQs8,Biogen: Centralized Logging Solution for Multi Accounts,https://www.youtube.com/watch?v=m8xtR3-ZQs8
mpgM2qeAfaQ,Brain Power Fidgetology: Automatic Analysis of Body Language Using Serverless and AI on AWS,https://www.youtube.com/watch?v=mpgM2qeAfaQ
mq3XuoN0rUM,ZS Associates: Intelligent Process Automation Using AWS AI Services,https://www.youtube.com/watch?v=mq3XuoN0rUM
mxKhbU_ToMs,MindTouch: Modernizing Legacy C Applications to  NET Core on AWS Lambda,https://www.youtube.com/watch?v=mxKhbU_ToMs
nM-AkqNh7Yo,from scratch: Resource Manager Controls Task Distribution with Multiple Amazon EMR Clusters,https://www.youtube.com/watch?v=nM-AkqNh7Yo
o6DZRwe30Ls,ArcBlock: Leveraging Amazon QLDB to Build a Decentralized Identity Solution,https://www.youtube.com/watch?v=o6DZRwe30Ls
ooVtAAoSH2k,CrowdStrike: Analyzing Telemetry Streams to Protect Cloud Endpoints,https://www.youtube.com/watch?v=ooVtAAoSH2k
pCZ0bxgBL5c,Shin Software: How to Implement a Platform for the Creation of Interactive 3D Applications (Italian),https://www.youtube.com/watch?v=pCZ0bxgBL5c
pwxhclKcMas,Depop: RealTime Data Ingestion and Analysis,https://www.youtube.com/watch?v=pwxhclKcMas
r2xfxJ-sXMY,Haptik: Data Lake for Conversational AI,https://www.youtube.com/watch?v=r2xfxJ-sXMY
sKksbPPDznM,Macquarie Bank: Securing Payment Websites at the Edge Serverless-ly (LIVE),https://www.youtube.com/watch?v=sKksbPPDznM
sSa4ikC8-Jc,HMH: Lightweight PCI Compliance Infrastructure on AWS,https://www.youtube.com/watch?v=sSa4ikC8-Jc
u9DZRkJxvWo,PwC: Building an Efficient Intelligent Serverless Pipeline for the Pharma Industry,https://www.youtube.com/watch?v=u9DZRkJxvWo
uNAmsoLed1E,Bajaj Housing Finance Limited: Serverless Data Pipelines with AWS Glue and Amazon Aurora PGSQL,https://www.youtube.com/watch?v=uNAmsoLed1E
uQFtb0iMC_s,AWS Solutions: Media Analysis,https://www.youtube.com/watch?v=uQFtb0iMC_s
uda9s3U7vFw,Tooso: How to Build a Serverless Pipeline for Data Ingestion and PreProcessing Italian,https://www.youtube.com/watch?v=uda9s3U7vFw
