video_id,gt_name,categories,gen_nodes,gt_nodes,node_count_ratio,svc_precision,svc_recall,svc_f1,ms_precision,ms_recall,ms_f1,gen_edges,gt_edges,edge_precision,edge_recall,edge_f1,edge_type_accuracy,gen_workflows,gt_workflows,services_missing,services_hallucinated
6CgqEzyWpeA,SundaySky: Create Personalized Videos in Real Time on GPU-based Spot Instances for Video Rendering,"compute_intensive,interactive",13,12,1.0833,1.0000,1.0000,1.0000,0.9231,1.0000,0.9600,19,19,0.7895,0.7895,0.7895,0.4667,3,6,,
Cgv0kfp_6xQ,Snap: Journey of a Snap on Snapchat Using AWS,interactive,11,10,1.1000,1.0000,1.0000,1.0000,0.9091,1.0000,0.9524,13,14,0.7692,0.7143,0.7407,0.9000,2,2,,
-3lnf5lzsH0,MakeMyTrip: Building Next Generation SOC,data_ingestion,14,13,1.0769,1.0000,0.9167,0.9565,0.8571,0.9231,0.8889,15,16,0.4000,0.3750,0.3871,0.8333,3,4,OnPremDC,
07lfvavMdfU,Levels Beyond: Digital Content Orchestration,data_ingestion,11,10,1.1000,0.9091,1.0000,0.9524,0.9091,1.0000,0.9524,15,14,0.6000,0.6429,0.6207,0.5556,3,7,,Lambda
4WjXH8Wp0E4,Kainos: Kainos Advances Patient Care with Next Generation Interoperability Platform,"data_ingestion,interactive",11,14,0.7857,1.0000,0.9000,0.9474,1.0000,0.7857,0.8800,22,22,0.5909,0.5909,0.5909,0.7692,3,5,UserConsumerWeb,
7LziNjUTo7w,IHS Markit: Virtual Instructor-Led Trainings with IHS Markit (now part of S&P Global),interactive,9,9,1.0000,0.8889,1.0000,0.9412,0.8889,0.8889,0.8889,15,16,0.8667,0.8125,0.8387,0.5385,2,4,,UserCompanyDeveloper
AzM_d7ZvzUE,Epsagon: Automatically Tracing and Analyzing Billions of AWS Serverless Events,data_ingestion,12,11,1.0909,0.8889,1.0000,0.9412,0.9167,1.0000,0.9565,17,20,0.7647,0.6500,0.7027,0.7692,5,6,,UserCompanyDeveloper
-ahWdCysMYw,Summit Technology Group: Building a Data Consumption Model for Multi-Tenant Applications,interactive,7,8,0.8750,1.0000,0.8750,0.9333,1.0000,0.8750,0.9333,9,9,0.5556,0.5556,0.5556,1.0000,3,5,VPN,
1aYoIZvabbk,OLX Autos: Building Developer Platform for Rapid Global Expansion,control,7,6,1.1667,0.8571,1.0000,0.9231,0.8571,1.0000,0.9231,9,5,0.4444,0.8000,0.5714,1.0000,1,1,,EC2
A4Lfk1Zz1dE,Spot.io: Optimizing Cloud Infrastructure Through Secure Cost Aware Automation,control,9,8,1.1250,0.8571,1.0000,0.9231,0.8889,1.0000,0.9412,10,5,0.4000,0.8000,0.5333,0.7500,3,3,,UserCompanyDeveloper
BlCXEMp_lqY,Vizio: Smart TV Analytics at Scale,data_ingestion,7,6,1.1667,0.8571,1.0000,0.9231,0.8571,1.0000,0.9231,9,9,0.7778,0.7778,0.7778,0.8571,2,3,,UserCompanyAnalyst
6YkguepAQuQ,Aetion: Deploy Applications  Provision Cloud Resources with AWS Developer Tools,control,10,10,1.0000,0.9000,0.9000,0.9000,0.9000,0.9000,0.9000,13,10,0.1538,0.2000,0.1739,1.0000,1,3,VPC,UserCompanyAgent
2L0m28ZLmtE,Sanofi with TeamWork: OnDemand Data Science Environment,compute_intensive,15,13,1.1538,0.8462,0.9167,0.8800,0.8000,0.9231,0.8571,27,11,0.1481,0.3636,0.2105,1.0000,3,7,ThirdParty,"CloudFormation,UserCompanyAnalyst"
BX1K8x1lVLc,"Love, Bonito: Achieving Scalability Using Magento with Kubernetes",interactive,8,8,1.0000,0.8750,0.8750,0.8750,0.8750,0.8750,0.8750,15,14,0.6000,0.6429,0.6207,1.0000,3,1,UserConsumerWeb,UserConsumerWebMobile
37T7Nd8pL-c,Docebo: How to Create Compelling e-Learning Videos from Documents via AI ML Services,control,8,8,1.0000,0.8571,0.8571,0.8571,0.8750,0.8750,0.8750,10,12,0.3000,0.2500,0.2727,0.0000,2,1,UserConsumerAPI,UserConsumerWebMobile
6sew_hdI6cY,Triboo: Hosting Magento on Containers Italian,other,17,15,1.1333,0.8000,0.9231,0.8571,0.7647,0.8667,0.8125,21,18,0.4286,0.5000,0.4615,0.8889,5,1,OpenSearch,"ThirdParty,UserCompanyDeveloper,UserConsumerWebMobile"
wjtSHyENv0I,"Main Street America Insurance: The Independent Agent Portal, Breaking up the Monolith",interactive,8,8,1.0000,0.8571,0.8571,0.8571,0.8750,0.8750,0.8750,16,14,0.6250,0.7143,0.6667,0.8000,2,2,UserConsumerWeb,UserCompanyAgent
ww5fiygF6eg,Marathon Oil: Automating Drone Image Processing to Monitor Equipment Health,"data_ingestion,interactive",11,10,1.1000,0.8571,0.8571,0.8571,0.8182,0.9000,0.8571,21,20,0.7619,0.8000,0.7805,0.3125,2,3,UserCompanyDrone,UserCompanyInternalPlatform
0gNMEyei-co,Infor: Ingest and Analyze Millions of Application Events Daily for Compliance Violations,data_ingestion,13,9,1.4444,0.8000,0.8889,0.8421,0.6154,0.8889,0.7273,14,13,0.6429,0.6923,0.6667,1.0000,2,2,UserCompanyDataStream,"Glue,UserCompanyAPI"
