video_id,status,svc_f1,edge_f1,gen_nodes,gt_nodes,gen_edges,gt_edges,whiteboard_sha256,stage1_cached_at
-3lnf5lzsH0,success,100.00,93.33,13,13,14,16,4a068bb5c768ae47,2026-08-27T17:41:56
-kA0ahrhX3I,success,100.00,94.12,8,9,9,8,1c345659c3aa6d8e,2026-08-27T17:41:56
-wLEkq21cvA,success,90.91,85.71,10,9,11,10,8385eabdc98e92f3,2026-08-27T17:41:56
07lfvavMdfU,success,100.00,92.31,10,10,12,14,2498809b34b62a75,2026-08-27T17:41:56
1aYoIZvabbk,success,100.00,90.91,6,6,6,5,5172b2144e00221c,2026-08-27T17:41:56
2L0m28ZLmtE,success,100.00,95.24,13,13,10,11,d6e8a2229bdbbe0a,2026-08-27T17:41:56
2e3vOxsHekE,success,100.00,100.00,6,6,6,6,f82fb8ae4efbbd9d,2026-08-27T17:41:56
6CgqEzyWpeA,success,100.00,85.71,12,12,16,19,c93879d338e56068,2026-08-27T17:41:56
6EUknQqaV1w,success,100.00,90.91,9,9,11,11,6a20b6d048314919,2026-08-27T17:41:56
6YkguepAQuQ,success,100.00,53.33,10,10,5,10,cac8ebdc4608ce39,2026-08-27T17:41:56
BZ32w0SSAoY,success,100.00,77.42,7,7,12,19,b10eca450b6d593a,2026-08-27T17:41:56
Cgv0kfp_6xQ,success,100.00,81.48,10,10,13,14,1ebdf81169256273,2026-08-27T17:41:56
wjtSHyENv0I,success,100.00,78.26,8,8,9,14,e55b79628114331f,2026-08-27T17:41:56
ww5fiygF6eg,success,100.00,75.00,10,10,12,20,f4b0942c9fc8dd75,2026-08-27T17:41:56
2XVgpMwY5iE,success,100.00,85.71,8,7,9,12,a47250b01251db18,2026-08-27T17:41:56
7V8wTCkjOqo,success,100.00,53.33,7,7,8,7,d11f436e512cf628,2026-08-27T17:41:56
90rWUjKjnAE,success,100.00,100.00,8,8,10,10,fecc21e5e343c60d,2026-08-27T17:41:56
9qTEHITVeLE,success,100.00,83.33,9,9,10,14,97afbd7442c9842c,2026-08-27T17:41:56
BlCXEMp_lqY,success,100.00,71.43,6,6,5,9,fc3138ba303b4b19,2026-08-27T17:41:56
FfSNnH2bbNc,success,100.00,75.00,8,8,13,19,7d02cf5b8511216b,2026-08-27T17:41:56
H2fOkeXxpyw,success,100.00,88.89,8,8,8,10,966cfec8eb1d2b46,2026-08-27T17:41:56
JYeXbUdFOdw,success,100.00,80.00,8,8,11,14,3eca306a61a7cc16,2026-08-27T17:41:56
SSWwnNVYi_Q,success,100.00,62.50,8,8,6,10,99074844cf0e007d,2026-08-27T17:41:56
a6kqyqTNJM4,success,100.00,69.23,11,11,11,15,6e9cdae60f4c0e9e,2026-08-27T17:41:56
c-1GXhOOOww,success,100.00,78.79,9,9,17,16,d43ed3a5e5c6de2b,2026-08-27T17:41:56
f5EJBUfGZtw,success,100.00,88.89,10,10,10,8,b5d6f61b3645468e,2026-08-27T17:41:56
hMK2NJ-q9nc,success,100.00,90.91,6,6,6,5,663a1fd936f59b17,2026-08-27T17:41:56
jV8DwutbXbg,success,100.00,77.78,7,7,7,11,d8fc2ade7b39860b,2026-08-27T17:41:56
jg85DzUZ9Ac,success,100.00,100.00,10,10,11,11,32efa41fbc2ad933,2026-08-27T17:41:56
u3ZwnulzLnU,success,100.00,96.00,8,8,12,13,737a3f2138af4206,2026-08-27T17:41:56
