video_id,status,svc_f1,edge_f1,gen_nodes,gt_nodes,gen_edges,gt_edges,whiteboard_sha256,stage1_cached_at
-3lnf5lzsH0,success,70.00,32.00,9,13,9,16,4a068bb5c768ae47,2026-07-27T21:58:11
-kA0ahrhX3I,success,92.31,66.67,10,9,4,8,1c345659c3aa6d8e,2026-07-27T22:01:44
-wLEkq21cvA,success,88.89,77.78,8,9,8,10,8385eabdc98e92f3,2026-07-27T21:36:16
07lfvavMdfU,success,94.74,75.00,9,10,10,14,2498809b34b62a75,2026-07-27T21:39:58
1aYoIZvabbk,success,76.92,66.67,7,6,7,5,5172b2144e00221c,2026-07-27T21:40:46
2L0m28ZLmtE,success,96.00,64.00,14,13,14,11,d6e8a2229bdbbe0a,2026-07-27T20:06:02
2e3vOxsHekE,success,83.33,72.73,6,6,5,6,f82fb8ae4efbbd9d,2026-07-25T10:21:46
6CgqEzyWpeA,success,94.74,74.29,13,12,16,19,c93879d338e56068,2026-07-25T10:23:07
6EUknQqaV1w,success,85.71,78.26,9,9,12,11,6a20b6d048314919,2026-07-25T10:24:00
6YkguepAQuQ,success,100.00,53.33,10,10,5,10,cac8ebdc4608ce39,2026-07-25T10:24:41
BZ32w0SSAoY,success,80.00,55.17,7,7,10,19,b10eca450b6d593a,2026-07-25T10:25:17
Cgv0kfp_6xQ,success,100.00,83.33,11,10,10,14,1ebdf81169256273,2026-07-25T10:25:53
wjtSHyENv0I,success,85.71,54.55,8,8,8,14,e55b79628114331f,2026-07-25T15:57:57
ww5fiygF6eg,success,93.33,35.71,9,10,8,20,f4b0942c9fc8dd75,2026-07-25T10:35:22
2XVgpMwY5iE,success,71.43,47.62,8,7,9,12,a47250b01251db18,2026-08-24T20:37:27
7V8wTCkjOqo,success,76.92,30.77,7,7,6,7,d11f436e512cf628,2026-08-24T20:37:50
90rWUjKjnAE,success,85.71,66.67,9,8,8,10,fecc21e5e343c60d,2026-08-24T20:38:12
9qTEHITVeLE,success,71.43,40.00,10,9,11,14,97afbd7442c9842c,2026-08-24T20:38:32
BlCXEMp_lqY,success,100.00,71.43,6,6,5,9,fc3138ba303b4b19,2026-08-24T20:38:41
FfSNnH2bbNc,success,75.00,48.28,8,8,10,19,7d02cf5b8511216b,2026-08-24T20:40:06
H2fOkeXxpyw,success,83.33,70.59,8,8,7,10,966cfec8eb1d2b46,2026-08-24T20:41:10
JYeXbUdFOdw,success,85.71,44.44,13,8,13,14,3eca306a61a7cc16,2026-08-24T20:42:50
SSWwnNVYi_Q,success,85.71,50.00,8,8,6,10,99074844cf0e007d,2026-08-24T20:43:48
a6kqyqTNJM4,success,84.21,32.00,11,11,10,15,6e9cdae60f4c0e9e,2026-08-24T20:44:08
c-1GXhOOOww,success,75.00,28.57,7,9,12,16,d43ed3a5e5c6de2b,2026-08-24T20:45:43
f5EJBUfGZtw,success,94.12,77.78,10,10,10,8,b5d6f61b3645468e,2026-08-24T20:46:01
hMK2NJ-q9nc,success,72.73,25.00,9,6,11,5,663a1fd936f59b17,2026-08-24T20:48:50
jV8DwutbXbg,success,100.00,70.59,7,7,6,11,d8fc2ade7b39860b,2026-08-24T20:49:09
jg85DzUZ9Ac,success,87.50,76.19,10,10,10,11,32efa41fbc2ad933,2026-08-24T20:50:44
u3ZwnulzLnU,success,93.33,66.67,9,8,11,13,737a3f2138af4206,2026-08-24T20:51:09
