video_id,status,svc_f1,edge_f1,gen_nodes,gt_nodes,gen_edges,gt_edges,whiteboard_sha256,stage1_cached_at
-3lnf5lzsH0,success,76.19,56.00,9,13,9,16,4a068bb5c768ae47,2026-08-29T01:31:18
-kA0ahrhX3I,success,85.71,66.67,11,9,4,8,1c345659c3aa6d8e,2026-08-29T01:31:44
-wLEkq21cvA,success,66.67,47.62,11,9,11,10,8385eabdc98e92f3,2026-08-29T01:32:10
07lfvavMdfU,success,94.74,83.33,9,10,10,14,2498809b34b62a75,2026-08-27T20:25:50
1aYoIZvabbk,success,83.33,72.73,6,6,6,5,5172b2144e00221c,2026-08-29T01:32:43
2L0m28ZLmtE,success,96.00,90.91,14,13,11,11,d6e8a2229bdbbe0a,2026-08-27T20:45:39
2e3vOxsHekE,success,83.33,72.73,6,6,5,6,f82fb8ae4efbbd9d,2026-08-28T22:27:19
6CgqEzyWpeA,success,88.89,52.94,12,12,15,19,c93879d338e56068,2026-08-27T20:59:17
6EUknQqaV1w,success,92.31,80.00,7,9,9,11,6a20b6d048314919,2026-08-27T21:06:41
6YkguepAQuQ,success,100.00,53.33,10,10,5,10,cac8ebdc4608ce39,2026-08-27T21:14:23
BZ32w0SSAoY,success,80.00,58.06,7,7,12,19,b10eca450b6d593a,2026-08-27T21:19:56
Cgv0kfp_6xQ,success,100.00,78.26,10,10,9,14,1ebdf81169256273,2026-08-29T01:32:31
wjtSHyENv0I,success,100.00,66.67,8,8,10,14,e55b79628114331f,2026-08-27T21:25:52
ww5fiygF6eg,success,87.50,34.48,9,10,9,20,f4b0942c9fc8dd75,2026-08-27T23:15:42
2XVgpMwY5iE,success,71.43,54.55,8,7,10,12,a47250b01251db18,2026-08-27T23:20:47
7V8wTCkjOqo,success,100.00,47.06,7,7,10,7,d11f436e512cf628,2026-08-27T23:27:49
90rWUjKjnAE,success,85.71,66.67,9,8,8,10,fecc21e5e343c60d,2026-08-27T23:33:05
9qTEHITVeLE,success,75.00,46.15,10,9,12,14,97afbd7442c9842c,2026-08-27T23:52:23
BlCXEMp_lqY,success,83.33,42.86,6,6,5,9,fc3138ba303b4b19,2026-08-27T23:54:16
FfSNnH2bbNc,success,100.00,68.97,8,8,10,19,7d02cf5b8511216b,2026-08-28T23:08:13
H2fOkeXxpyw,success,100.00,82.35,8,8,7,10,966cfec8eb1d2b46,2026-08-28T23:19:38
JYeXbUdFOdw,success,100.00,66.67,12,8,13,14,3eca306a61a7cc16,2026-08-28T20:00:47
SSWwnNVYi_Q,success,85.71,50.00,8,8,6,10,99074844cf0e007d,2026-08-28T20:04:25
a6kqyqTNJM4,success,90.00,33.33,11,11,9,15,6e9cdae60f4c0e9e,2026-08-28T20:07:58
c-1GXhOOOww,success,70.59,32.26,9,9,15,16,d43ed3a5e5c6de2b,2026-08-28T20:16:18
f5EJBUfGZtw,success,94.12,82.35,10,10,9,8,b5d6f61b3645468e,2026-08-29T00:46:40
hMK2NJ-q9nc,success,61.54,36.36,7,6,6,5,663a1fd936f59b17,2026-08-29T01:31:32
jV8DwutbXbg,success,100.00,70.59,7,7,6,11,d8fc2ade7b39860b,2026-08-28T20:25:45
jg85DzUZ9Ac,success,82.35,57.14,10,10,10,11,32efa41fbc2ad933,2026-08-28T20:27:10
u3ZwnulzLnU,success,100.00,60.87,9,8,10,13,737a3f2138af4206,2026-08-29T00:57:26
