video_id,svc_f1,edge_f1,gen_nodes,gt_nodes,gen_edges,gt_edges,source
-3lnf5lzsH0,70.0,32.0,9,13,9,16,"reports/ablation/2026-08-22_0332_STAGE2_V6_CORRECTED_cell9 (14-panel, hash-verified stage2 sha ed1d85054d73)"
-kA0ahrhX3I,92.31,50.0,10,9,8,8,"reports/ablation/2026-08-22_0332_STAGE2_V6_CORRECTED_cell9 (14-panel, hash-verified stage2 sha ed1d85054d73)"
-wLEkq21cvA,88.89,77.78,8,9,8,10,"reports/ablation/2026-08-22_0332_STAGE2_V6_CORRECTED_cell9 (14-panel, hash-verified stage2 sha ed1d85054d73)"
07lfvavMdfU,94.74,75.0,9,10,10,14,"reports/ablation/2026-08-22_0332_STAGE2_V6_CORRECTED_cell9 (14-panel, hash-verified stage2 sha ed1d85054d73)"
1aYoIZvabbk,92.31,83.33,7,6,7,5,"reports/ablation/2026-08-22_0332_STAGE2_V6_CORRECTED_cell9 (14-panel, hash-verified stage2 sha ed1d85054d73)"
2L0m28ZLmtE,96.0,69.57,14,13,12,11,"reports/ablation/2026-08-22_0332_STAGE2_V6_CORRECTED_cell9 (14-panel, hash-verified stage2 sha ed1d85054d73)"
2e3vOxsHekE,83.33,72.73,6,6,5,6,"reports/ablation/2026-08-22_0332_STAGE2_V6_CORRECTED_cell9 (14-panel, hash-verified stage2 sha ed1d85054d73)"
6CgqEzyWpeA,94.74,74.29,13,12,16,19,"reports/ablation/2026-08-22_0332_STAGE2_V6_CORRECTED_cell9 (14-panel, hash-verified stage2 sha ed1d85054d73)"
6EUknQqaV1w,85.71,83.33,9,9,13,11,"reports/ablation/2026-08-22_0332_STAGE2_V6_CORRECTED_cell9 (14-panel, hash-verified stage2 sha ed1d85054d73)"
6YkguepAQuQ,100.0,53.33,10,10,5,10,"reports/ablation/2026-08-22_0332_STAGE2_V6_CORRECTED_cell9 (14-panel, hash-verified stage2 sha ed1d85054d73)"
BZ32w0SSAoY,80.0,40.0,7,7,6,19,"reports/ablation/2026-08-22_0332_STAGE2_V6_CORRECTED_cell9 (14-panel, hash-verified stage2 sha ed1d85054d73)"
Cgv0kfp_6xQ,100.0,83.33,11,10,10,14,"reports/ablation/2026-08-22_0332_STAGE2_V6_CORRECTED_cell9 (14-panel, hash-verified stage2 sha ed1d85054d73)"
wjtSHyENv0I,85.71,54.55,8,8,8,14,"reports/ablation/2026-08-22_0332_STAGE2_V6_CORRECTED_cell9 (14-panel, hash-verified stage2 sha ed1d85054d73)"
ww5fiygF6eg,93.33,35.71,9,10,8,20,"reports/ablation/2026-08-22_0332_STAGE2_V6_CORRECTED_cell9 (14-panel, hash-verified stage2 sha ed1d85054d73)"
2XVgpMwY5iE,71.43,45.45,8,7,10,12,"reports/runs/2026-08-20_standard_v6corrected_370v/results.csv (production pipeline, same stage2 prompt by construction — vision_analyzer.py always runs production)"
7V8wTCkjOqo,83.33,26.67,6,7,8,7,"reports/runs/2026-08-20_standard_v6corrected_370v/results.csv (production pipeline, same stage2 prompt by construction — vision_analyzer.py always runs production)"
90rWUjKjnAE,85.71,73.68,9,8,9,10,"reports/runs/2026-08-20_standard_v6corrected_370v/results.csv (production pipeline, same stage2 prompt by construction — vision_analyzer.py always runs production)"
9qTEHITVeLE,80.0,40.0,10,9,11,14,"reports/runs/2026-08-20_standard_v6corrected_370v/results.csv (production pipeline, same stage2 prompt by construction — vision_analyzer.py always runs production)"
BlCXEMp_lqY,100.0,71.43,6,6,5,9,"reports/runs/2026-08-20_standard_v6corrected_370v/results.csv (production pipeline, same stage2 prompt by construction — vision_analyzer.py always runs production)"
FfSNnH2bbNc,87.5,68.75,8,8,13,19,"reports/runs/2026-08-20_standard_v6corrected_370v/results.csv (production pipeline, same stage2 prompt by construction — vision_analyzer.py always runs production)"
H2fOkeXxpyw,83.33,70.59,8,8,7,10,"reports/runs/2026-08-20_standard_v6corrected_370v/results.csv (production pipeline, same stage2 prompt by construction — vision_analyzer.py always runs production)"
JYeXbUdFOdw,85.71,51.85,12,8,13,14,"reports/runs/2026-08-20_standard_v6corrected_370v/results.csv (production pipeline, same stage2 prompt by construction — vision_analyzer.py always runs production)"
SSWwnNVYi_Q,92.31,53.33,7,8,5,10,"reports/runs/2026-08-20_standard_v6corrected_370v/results.csv (production pipeline, same stage2 prompt by construction — vision_analyzer.py always runs production)"
a6kqyqTNJM4,77.78,23.08,11,11,11,15,"reports/runs/2026-08-20_standard_v6corrected_370v/results.csv (production pipeline, same stage2 prompt by construction — vision_analyzer.py always runs production)"
c-1GXhOOOww,77.78,28.57,9,9,12,16,"reports/runs/2026-08-20_standard_v6corrected_370v/results.csv (production pipeline, same stage2 prompt by construction — vision_analyzer.py always runs production)"
f5EJBUfGZtw,94.12,82.35,10,10,9,8,"reports/runs/2026-08-20_standard_v6corrected_370v/results.csv (production pipeline, same stage2 prompt by construction — vision_analyzer.py always runs production)"
hMK2NJ-q9nc,60.0,26.67,8,6,10,5,"reports/runs/2026-08-20_standard_v6corrected_370v/results.csv (production pipeline, same stage2 prompt by construction — vision_analyzer.py always runs production)"
jV8DwutbXbg,100.0,70.59,7,7,6,11,"reports/runs/2026-08-20_standard_v6corrected_370v/results.csv (production pipeline, same stage2 prompt by construction — vision_analyzer.py always runs production)"
jg85DzUZ9Ac,87.5,90.91,10,10,11,11,"reports/runs/2026-08-20_standard_v6corrected_370v/results.csv (production pipeline, same stage2 prompt by construction — vision_analyzer.py always runs production)"
u3ZwnulzLnU,93.33,64.0,9,8,12,13,"reports/runs/2026-08-20_standard_v6corrected_370v/results.csv (production pipeline, same stage2 prompt by construction — vision_analyzer.py always runs production)"
