"video_id","seccion","juicio"
"H51Ups01ZpU","fallback","no"
"hEB1J9-iOqs","fallback","no"
"iwDNnyiD26M","fallback","no"
"vdujJAab1LM","fallback","no"
"wzGYJ6BB0iY","fallback","no"
"WZ4YL4Z177Q","fallback","no"
"TTlyNWh0gjM","fallback","no"
"h0HE3bOEiMk","fallback","no"
"l3f29v3IJGA","fallback","no"
"mq3XuoN0rUM","fallback","no"
"r2xfxJ-sXMY","fallback","no"
"uNAmsoLed1E","fallback","no"
"1SwHH7qQ6Pc","fallback","no"
"OmVQ6pNDbaY","fallback","no"
"m8CBJEyHKIM","fallback","no"
"uda9s3U7vFw","fallback","no"
"mpgM2qeAfaQ","fallback","no"
"u9DZRkJxvWo","fallback","no"
"R-DPMUjZEf4","fallback","no"
"amh7nzl32v4","fallback","no"
"Vrx9csoawWc","fallback","no"
"W5qVQr-n5M8","fallback","no"
"YjASp_VccmI","fallback","no"
"m8xtR3-ZQs8","fallback","no"
"Bi-1xjXvKgs","fallback","no"
"iSkWd31X7zo","fallback","no"
"lcLw-Le_tXQ","fallback","no"
"_pXybA6832o","fallback","no"
"aOY6YCpcjz8","fallback","no"
"lA0lAgN0hTI","fallback","no"
"wzj2VQutJws","fallback","no"
"a6kqyqTNJM4","fallback","no"
"npQWtmnuM6s","pobres","no"
"plce6pRdx6o","pobres","no"
"illMCyp4O9A","pobres","no"
"DxHO2TWVN8I","pobres","no"
"lecbHMBD8KQ","pobres","no"
"aOZ4H98XROc","pobres","no"
"mxKhbU_ToMs","pobres","no"
"aAYvbRhZFPo","pobres","no"
"U8xlmurP-6o","pobres","no"
"k7h0jpLcWdE","pobres","no"
"pCZ0bxgBL5c","pobres","no"
"vp2Ipv2_uCg","pobres","no"
"ZsabzCVjkIk","pobres","no"
"zmJ7rL1iQBY","pobres","si"
"chQ1phTqvnY","pobres","no"
"Kp088QTRmLk","pobres","no"
"HrYfdnPp6qs","pobres","no"
"dWCQw_KvlYQ","pobres","si"
"ZA_0RMeeWpY","pobres","si"
"5QbKp0LQaZo","pobres","no"
"zr3Kib0i-OQ","pobres","no"
"ameanoaMldM","pobres","no"
"nM-AkqNh7Yo","pobres","no"
"dy-drIboyNA","pobres","no"
"c2TGPlvAHLs","pobres","no"
"jV8DwutbXbg","pobres","no"
"66h7DrOEF5k","pobres","no"
"YT21s0_ZJVQ","discrepancia","no"
"StSuG6-iKW4","discrepancia","no"
"cZuoiXQ0xUk","discrepancia","no"
"s4eerNhXf84","discrepancia","si"
"1tGmQd0yOzE","discrepancia","no"
"gD8pzUnXgsU","discrepancia","no"
"99nNHsbwBpg","discrepancia","si"
"DAJZAygxDZA","discrepancia","si"
"lHM96P5kP2k","discrepancia","si"
"r3g1Nym-ebY","discrepancia","si"
"QhdFIHbB7T4","discrepancia","si"
"cczJb4heExQ","discrepancia","si"
"mT4KDGRgo4k","discrepancia","si"
"KzJKdUZ3Ba4","discrepancia","si"
"LPZlrX2cNjo","discrepancia","si"
"2e3vOxsHekE","discrepancia","si"
"cmYI6axlicc","discrepancia","si"
"UsngU-HjH_Q","discrepancia","si"
"7KqYdneuJjo","discrepancia","si"
"OQKOHNtyz3E","discrepancia","si"
"1xLjtJnfZes","discrepancia","si"
"weT3nKnOFDg","discrepancia","si"
"o7sKra5MeZE","discrepancia","si"
"6iK4WNj6QqI","discrepancia","si"
"JiWHomdh1oI","discrepancia","si"
"iwZLadQ3XpY","discrepancia","si"
"XmIhHtPJWog","discrepancia","si"
"_EPfIJnBCoM","discrepancia","si"
"D9qTotVJYss","discrepancia","si"
"CsD5bmM6mpY","discrepancia","si"
"vr00Jg_G6qs","discrepancia","si"
"FmhL2334GIY","discrepancia","si"
"gcgtLDB0cKA","discrepancia","si"
"AS2JeM2FUzE","discrepancia","si"
"GoziWpmFCS0","discrepancia","si"
"X3mC6Yfd138","discrepancia","si"
"aovXn5QDEzU","discrepancia","si"
"-wLEkq21cvA","discrepancia","si"
"t8JCvcnFX10","discrepancia","si"
"MbkLJ62jtMc","discrepancia","si"
"O3s3MWD-UUA","discrepancia","si"
"XqsgQxyZ2Tw","discrepancia","si"
"SC6n6J8Bi58","discrepancia","si"
"pk5yddJpC_8","discrepancia","si"
"ulTevtklPHI","discrepancia","si"
"HcmEFZukA-Y","discrepancia","si"
"zQp8fwTBmNU","discrepancia","si"
"nflGdpwbf54","discrepancia","si"
"irpARK1Tdo4","discrepancia","si"
"KiH7hVJKzns","discrepancia","si"
"Gds8hl8dKuo","discrepancia","si"
"2XVgpMwY5iE","discrepancia","si"
"YV8e36ZywLk","discrepancia","si"
"q_5U7z_vNug","discrepancia","si"
"Felt-hOU6kU","discrepancia","si"
"XCnul-AjrNU","discrepancia","si"
"qIO_54vJ_JI","discrepancia","si"
"1ZLiRT0C2Yo","discrepancia","si"
"6LcSv9XocTY","discrepancia","si"
"phN08pi3YzY","discrepancia","si"
"hf9nMAG9XoU","discrepancia","si"
"rPGLNw1cOGM","discrepancia","si"
"L8a6qI14MwA","discrepancia","si"
"ftIdBG-UgFY","discrepancia","si"
"PgeQufaQy7I","discrepancia","si"
"0wnNlOg42dc","discrepancia","si"
"LYP98nPBj2A","discrepancia","si"
"9Cg81Xgg7LQ","discrepancia","si"
"ebngmAqbe-k","discrepancia","si"
"BgT_bDAejSQ","discrepancia","si"
"OWLGK-eVrTw","discrepancia","si"
"G07keU4g-LU","discrepancia","si"
"BX1K8x1lVLc","discrepancia","si"
"-S-R7MWRpaI","discrepancia","si"
"S85DeDgWQSc","discrepancia","si"
"RU__HBEMDvQ","discrepancia","si"
"E8wYXtvGy5k","discrepancia","si"
"QnmmTIYZxNI","discrepancia","si"
"ErXwuwF2mRU","discrepancia","si"
"U1kY6nSS2YQ","discrepancia","si"
"OTPyxlTjWp0","discrepancia","si"
"7wBOFcP1HwA","discrepancia","si"
"bxvZBfbyhiA","discrepancia","si"
"6EUknQqaV1w","discrepancia","si"
"wjtSHyENv0I","discrepancia","si"
"Q6r_QbYXFpg","discrepancia","si"
"bikXzsVihF4","discrepancia","si"
"Ly_UhX3LCCs","discrepancia","si"
"UpVF8jMB4yY","discrepancia","si"
"OYHSkwt31Vc","discrepancia","si"
"Kebb0LOVC28","discrepancia","si"
"GxjMSvwcgvw","discrepancia","si"
"3WgTBTDlQN8","discrepancia","si"
"gpWR5JBC64A","discrepancia","si"
"3yJZ6rPoZfg","discrepancia","si"
"hnMQFnTGr3I","discrepancia","si"
"K27WjYwyqw8","discrepancia","si"
"4-teOQ_dJvY","discrepancia","si"
"62E9ggjGS8I","discrepancia","si"
"GJ1So_pbZWk","discrepancia","si"
"6uEX5RKd0Bk","discrepancia","si"
"8TExnSvZqt0","discrepancia","si"
"5EmA67lSJEs","discrepancia","si"
"ym_Gz_zH7w8","discrepancia","si"
"8ZRWzn0G39g","discrepancia","si"
"KywvGM6HVXI","discrepancia","si"
"D6rG9eZ5Qus","discrepancia","si"
"fppIOuRMI2g","discrepancia","si"
"lkDq9g43djw","discrepancia","si"
"iKYvG5aiIn8","discrepancia","si"
"qN5-v4NlKac","discrepancia","si"
"JYeXbUdFOdw","discrepancia","si"
"Fd2c7NDYfpo","discrepancia","si"
"UPV6ggX4eSE","discrepancia","si"
"hMK2NJ-q9nc","discrepancia","si"
"Cgv0kfp_6xQ","discrepancia","si"
"JcHSFIZMYHc","discrepancia","si"
"q7nwPQ7XLJI","discrepancia","si"
"fbzeoxxyzIw","discrepancia","si"
"QOtCpD23118","discrepancia","si"
"Pc7_uOdlGKo","discrepancia","si"
"CE03UMddoYU","discrepancia","si"
"G5tNCpmD2uQ","discrepancia","si"
"aQFztbu0BG0","discrepancia","si"
"M_hqigB9C4I","discrepancia","si"
"PoYiSKUy8sE","discrepancia","si"
"-3lnf5lzsH0","discrepancia","si"
"LxeSC3-xMlk","discrepancia","si"
"66fPHLmvikk","discrepancia","si"
"kszaIJEnKPk","discrepancia","si"
"5vR5aN_xdI0","discrepancia","si"
"JG5p-i8Cr2E","discrepancia","si"
"-kA0ahrhX3I","discrepancia","si"
"W4QzOaKCX2Y","discrepancia","si"
"0-db3wFRfSc","discrepancia","si"
"Eoq7E6jMtBs","discrepancia","si"
"rsZjU5g_yXI","discrepancia","si"
"6YkguepAQuQ","discrepancia","si"
"i4ueYgjVDCw","discrepancia","si"
"H_S7CxtHgSM","discrepancia","si"
"c6yBZBMwtLk","discrepancia","si"
"DBmmQDlIXWM","discrepancia","si"
"wbh51O3QrE4","discrepancia","si"
"-yCol_7qH2U","discrepancia","si"
"07lfvavMdfU","discrepancia","si"
"INog0_9tCtY","discrepancia","si"
"nvhG60gFbso","discrepancia","si"
"HwHVFWdczVw","discrepancia","si"
"ec6j-MaOSUc","discrepancia","si"
"K5ww_O4vsxo","discrepancia","si"
"hlVnmCfydIs","discrepancia","si"
"DrkaU99l9S8","discrepancia","si"
"c8615P0yfi8","discrepancia","si"
"asZIXK7V-U4","discrepancia","si"
"j-lPgPGBTwQ","discrepancia","si"
"Yju3yReAQtc","discrepancia","si"
"9LhiUsg3knw","discrepancia","si"
"ruOhUEooJH0","discrepancia","si"
"DnTQ3matqts","discrepancia","si"
"T048vs9p1h4","discrepancia","si"
"2L0m28ZLmtE","discrepancia","si"
"Jkx6kVbDpL4","discrepancia","si"
"hFx0EF9KEZU","discrepancia","si"
"6E_Dg3YRil4","discrepancia","si"
"6sew_hdI6cY","discrepancia","si"
"qi017F1UwvM","discrepancia","si"
"VuoMhsYON1E","discrepancia","si"
"0F7KDLz-kIQ","discrepancia","si"
"sQsAGl7mSQs","calibracion","si"
"e3N5ZuHh7G0","calibracion","duda"
"Wk9mCHyjtBU","calibracion","si"
"dAQhNjwkOX8","calibracion","si"
"OuQvFd44vw4","calibracion","si"
"aN26J-7q9Hw","calibracion","si"
"pwxhclKcMas","calibracion","si"
"l0hlxVNmJPI","calibracion","si"
"SxFag4CMWU8","calibracion","si"
"D_4dsXVqzMs","calibracion","si"
"xKaPAihW_gE","calibracion","si"
"a59halVklMI","calibracion","si"
"SSWwnNVYi_Q","calibracion","si"
"yVgxqT1vikk","calibracion","si"
"uQFtb0iMC_s","calibracion","si"
"kD57QUn5myc","calibracion","si"
"ooVtAAoSH2k","calibracion","si"
"4zVB5RbSTCo","calibracion","si"
"sSa4ikC8-Jc","calibracion","si"
"sKksbPPDznM","calibracion","si"
"bqZWYmRAka0","calibracion","si"
"6sY0AunanlM","calibracion","si"
"cRxvZBIa-gI","calibracion","si"
"hbz63Ve-eIY","calibracion","si"
"tBavPTWewvI","calibracion","si"
"K7Id6cnwfD4","calibracion","si"
"l0mvXogANE4","calibracion","si"
"1aYoIZvabbk","calibracion","si"
"53sUjFv9ByI","calibracion","si"
"FqCs3BD6qvo","calibracion","si"
"i10a06IU4WQ","calibracion","si"
"WS2Qgx0qgCM","calibracion","si"
"BlCXEMp_lqY","calibracion","si"
"JRDGId6N49E","calibracion","si"
"cmlhEbm1kPk","calibracion","si"
"A4Lfk1Zz1dE","calibracion","si"
"co4_t2gN1T8","calibracion","si"
"gYXqv1UxW3Y","calibracion","si"
"W96L6ICcF3s","calibracion","si"
"BPvr0qWpJlA","calibracion","si"
"mZxF1IJEsaY","calibracion","si"
"lZoIkA_gf2w","calibracion","si"
"bQqJpjv-FXs","calibracion","si"
"XG6mHvi4eNU","calibracion","si"
"sezX7CSbXTg","calibracion","si"
"ccPhkyPm_3w","calibracion","si"
"ZNt9qI_LlPk","calibracion","si"
"jBffL9zUCSE","calibracion","si"
"YrEc8oMIxDs","calibracion","si"
"aY-wF9g0qkM","calibracion","si"
