video_id,schema,prompt_version,lab_json_exists,lab_json_matches,v10_cache_exists,graphml_exists,graphml_size_bytes,graphml_parses,graphml_nodes,graphml_edges,unknown_services_count,unknown_services_list,verdict
-3lnf5lzsH0,A,,0,0,0,0,0,0,0,0,0,,v9_probable
-ahWdCysMYw,A,,0,0,0,0,0,0,0,0,0,,v9_probable
-kA0ahrhX3I,A,,0,0,0,0,0,0,0,0,0,,v9_probable
-S-R7MWRpaI,A,,0,0,0,0,0,0,0,0,0,,v9_probable
-wLEkq21cvA,A,,0,0,0,0,0,0,0,0,0,,v9_probable
-yCol_7qH2U,B,v9,0,0,0,1,6453,1,12,15,0,,v9_confirmado
0-db3wFRfSc,B,v9,0,0,0,1,5796,1,11,13,0,,v9_confirmado
07lfvavMdfU,A,,0,0,0,0,0,0,0,0,0,,v9_probable
0F7KDLz-kIQ,A,,0,0,0,0,0,0,0,0,0,,v9_probable
0gNMEyei-co,A,,0,0,0,0,0,0,0,0,0,,v9_probable
0JxJpNjI9Y0,A,,0,0,0,0,0,0,0,0,0,,v9_probable
0wnNlOg42dc,A,,0,0,0,0,0,0,0,0,0,,v9_probable
1aYoIZvabbk,A,,0,0,0,0,0,0,0,0,0,,v9_probable
1kWxymroGeE,A,,0,0,0,0,0,0,0,0,0,,v9_probable
1xLjtJnfZes,A,,0,0,0,0,0,0,0,0,0,,v9_probable
1ZLiRT0C2Yo,A,,0,0,0,0,0,0,0,0,0,,v9_probable
2e3vOxsHekE,A,,0,0,0,0,0,0,0,0,0,,v9_probable
2f_NYiPJQt4,A,,0,0,0,0,0,0,0,0,0,,v9_probable
2L0m28ZLmtE,A,,0,0,0,0,0,0,0,0,0,,v9_probable
2XVgpMwY5iE,A,,0,0,0,0,0,0,0,0,0,,v9_probable
37T7Nd8pL-c,A,,0,0,0,0,0,0,0,0,0,,v9_probable
3WgTBTDlQN8,A,,0,0,0,0,0,0,0,0,0,,v9_probable
3yJZ6rPoZfg,A,,0,0,0,0,0,0,0,0,0,,v9_probable
4-teOQ_dJvY,A,,0,0,0,0,0,0,0,0,0,,v9_probable
40dhk6OABJE,B,v9,0,0,0,1,4158,1,10,6,0,,v9_confirmado
4WjXH8Wp0E4,A,,0,0,0,0,0,0,0,0,0,,v9_probable
53sUjFv9ByI,A,,0,0,0,0,0,0,0,0,0,,v9_probable
5CwIt-Alqhg,A,,0,0,0,0,0,0,0,0,0,,v9_probable
5EmA67lSJEs,A,,0,0,0,0,0,0,0,0,0,,v9_probable
5f3z1Z_9BJA,A,,0,0,0,0,0,0,0,0,0,,v9_probable
5hjkSczrke4,B,v9,0,0,0,1,6412,1,13,14,0,,v9_confirmado
5RsZJ-1_sn4,B,v9,0,0,0,1,8159,1,21,17,0,,v9_confirmado
5vR5aN_xdI0,A,,0,0,0,0,0,0,0,0,0,,v9_probable
62E9ggjGS8I,A,,0,0,0,0,0,0,0,0,0,,v9_probable
66fPHLmvikk,A,,0,0,0,0,0,0,0,0,0,,v9_probable
6CgqEzyWpeA,A,,0,0,0,0,0,0,0,0,0,,v9_probable
6E_Dg3YRil4,B,v9,0,0,0,1,5828,1,16,10,0,,v9_confirmado
6EUknQqaV1w,A,,0,0,0,0,0,0,0,0,0,,v9_probable
6iK4WNj6QqI,A,,0,0,0,0,0,0,0,0,0,,v9_probable
6LcSv9XocTY,A,,0,0,0,0,0,0,0,0,0,,v9_probable
6sew_hdI6cY,A,,0,0,0,0,0,0,0,0,0,,v9_probable
6sY0AunanlM,A,,0,0,0,0,0,0,0,0,0,,v9_probable
6uEX5RKd0Bk,B,v9,0,0,0,1,5005,1,8,11,0,,v9_confirmado
6YkguepAQuQ,A,,0,0,0,0,0,0,0,0,0,,v9_probable
7dtomip_VXc,A,,0,0,0,0,0,0,0,0,0,,v9_probable
7KqYdneuJjo,A,,0,0,0,1,5665,1,9,10,0,,v9_probable
7LziNjUTo7w,A,,0,0,0,0,0,0,0,0,0,,v9_probable
7V8wTCkjOqo,A,,0,0,0,0,0,0,0,0,0,,v9_probable
7wBOFcP1HwA,B,v9,0,0,0,1,5093,1,11,10,0,,v9_confirmado
8s0wGRkiDrw,B,v9,0,0,0,1,4331,1,8,7,0,,v9_confirmado
8TExnSvZqt0,B,v9,0,0,0,1,3898,1,11,4,0,,v9_confirmado
8ZRWzn0G39g,B,v9,0,0,0,1,4929,1,10,9,0,,v9_confirmado
9-6hQdFeolc,B,v9,0,0,0,1,3943,1,8,6,0,,v9_confirmado
9-a9Y5THTYo,B,v9,0,0,0,1,4588,1,8,8,0,,v9_confirmado
90rWUjKjnAE,B,v9,0,0,0,1,4416,1,9,8,0,,v9_confirmado
99nNHsbwBpg,B,v9,0,0,0,1,2408,1,3,2,0,,v9_confirmado
9Cg81Xgg7LQ,B,v9,0,0,0,1,3469,1,7,5,0,,v9_confirmado
9LhiUsg3knw,B,v9,0,0,0,1,4894,1,10,9,0,,v9_confirmado
9qTEHITVeLE,A,,0,0,0,0,0,0,0,0,0,,v9_probable
9yziTe6lBwk,A,,0,0,0,0,0,0,0,0,0,,v9_probable
_EPfIJnBCoM,A,,0,0,0,1,5009,1,9,8,0,,v9_probable
_vjB_vF4Uec,A,,0,0,0,1,4911,1,10,7,0,,v9_probable
a1sEfGVDpEQ,A,,0,0,0,1,4653,1,9,7,0,,v9_probable
A4Lfk1Zz1dE,A,,0,0,0,0,0,0,0,0,0,,v9_probable
acm-HWJhEOA,A,,0,0,0,1,6249,1,12,11,0,,v9_probable
aQFztbu0BG0,A,,0,0,0,1,4824,1,8,8,0,,v9_probable
AS2JeM2FUzE,A,,0,0,0,0,0,0,0,0,0,,v9_probable
asZIXK7V-U4,A,,0,0,0,1,6251,1,10,13,0,,v9_probable
aY-wF9g0qkM,A,,0,0,0,1,5181,1,9,9,0,,v9_probable
az-C2c33trQ,A,,0,0,0,1,4532,1,8,9,0,,v9_probable
AzM_d7ZvzUE,A,,0,0,0,0,0,0,0,0,0,,v9_probable
b93-zn-DtBw,A,,0,0,0,1,5468,1,10,10,0,,v9_probable
BgT_bDAejSQ,A,,0,0,0,0,0,0,0,0,0,,v9_probable
bikXzsVihF4,A,,0,0,0,0,0,0,0,0,0,,v9_probable
BlCXEMp_lqY,A,,0,0,0,0,0,0,0,0,0,,v9_probable
BLwskVnHbs4,B,v9,0,0,0,1,4083,1,8,7,0,,v9_confirmado
BPvr0qWpJlA,A,,0,0,0,0,0,0,0,0,0,,v9_probable
bQqJpjv-FXs,A,,0,0,0,1,4873,1,7,8,0,,v9_probable
bqZWYmRAka0,A,,0,0,0,0,0,0,0,0,0,,v9_probable
BX1K8x1lVLc,B,v9,0,0,0,1,4166,1,8,8,0,,v9_confirmado
bxvZBfbyhiA,B,v9,0,0,0,1,4128,1,8,7,0,,v9_confirmado
BZ32w0SSAoY,A,,0,0,0,0,0,0,0,0,0,,v9_probable
c-1GXhOOOww,B,v9,0,0,0,1,4730,1,8,10,0,,v9_confirmado
c6yBZBMwtLk,B,v9,0,0,0,1,5873,1,11,13,0,,v9_confirmado
c8615P0yfi8,B,v9,0,0,0,1,5379,1,10,11,0,,v9_confirmado
c863uNkF0w4,B,v9,0,0,0,1,3790,1,8,5,0,,v9_confirmado
ccPhkyPm_3w,B,v9,0,0,0,1,4071,1,9,6,0,,v9_confirmado
Ccutfm_Srzw,B,v9,0,0,0,1,4495,1,8,8,0,,v9_confirmado
CDCLwX2fo2g,B,v9,0,0,0,1,4680,1,8,10,0,,v9_confirmado
CE03UMddoYU,A,,0,0,0,0,0,0,0,0,0,,v9_probable
Cgv0kfp_6xQ,A,,0,0,0,0,0,0,0,0,0,,v9_probable
cmYI6axlicc,B,v9,0,0,0,1,4729,1,9,9,0,,v9_confirmado
cnZeOytEkIM,A,,0,0,0,1,4546,1,8,7,0,,v9_probable
cRxvZBIa-gI,B,v9,0,0,0,1,3366,1,7,4,0,,v9_confirmado
CsD5bmM6mpY,A,,0,0,0,0,0,0,0,0,0,,v9_probable
CTG23wd9H74,A,,0,0,0,0,0,0,0,0,0,,v9_probable
