Servicio,Frecuencia
S3,133
Lambda,130
EC2,91
ThirdParty,82
DynamoDB,56
UserConsumerWeb,45
EKS,44
SQS,43
UserConsumerMobile,37
ApiGateway,37
RDS,34
Aurora,27
SageMaker,26
CloudFront,24
ECS,24
Kinesis,24
UserCompanyDeveloper,19
ElastiCache,18
Athena,17
ALB,17
UserCompanyDataStream,17
SNS,17
Glue,17
StepFunctions,17
CloudWatch,16
ELB,16
RedShift,15
OpenSearch,15
Fargate,14
UserCompanyAnalyst,13
UserConsumerAPI,13
UserCompanyAgent,13
VPC,12
TransitGateway,12
EMR,12
ECR,11
CloudFormation,10
QuickSight,10
EventBridge,10
KMS,9
Route53,9
Cognito,9
Firehose,9
IAM,8
UserConsumerEdge,7
WAF,6
LambdaAtEdge,6
ControlTower,6
IoTCore,5
PrivateLink,5
AppSync,5
EFS,4
Comprehend,4
UserConsumerWebMobile,4
CloudTrail,4
VPN,4
Connect,4
DirectConnect,4
UserCompanyCRM,4
CodePipeline,4
FSX,4
UserCompanyAPI,4
EBS,4
NLB,4
AutoScaling,3
ServiceCatalog,3
DMS,3
KinesisDataStream,3
SystemsManager,3
SES,3
StorageGateway,3
Transcribe,3
CodeBuild,3
MSK,3
MongoDBAtlas,2
Timestream,2
Macie,2
UserCompanyWebsite,2
BeanStalk,2
Pinpoint,2
Amplify,2
GuardDuty,2
Rekognition,2
OnPremDC,2
DocumentDB,2
Organizations,2
UserConsumerPOS,2
Lex,2
Greengrass,2
Neptune,2
UserConsumerTV,2
UserConsumerSatellite,2
UserCompanyEdge,2
Textract,1
UserCompanyInternalPlatform,1
MediaConvert,1
UserCompanyDrone,1
S2SVPN,1
ShieldAdvanced,1
Translate,1
SecretsManager,1
AppDiscovery,1
AMI,1
AppStream,1
AmazonMQ,1
VPCPeering,1
UserCompanyDomainExpert,1
UserConsumerArtist,1
CouchBase,1
AWSConfig,1
UserConsumerDeveloper,1
XRay,1
SecurityHub,1
CodeCommit,1
KinesisAnalytics,1
UserConsumerHospital,1
CloudHSM,1
ModelRegistry,1
MediaStore,1
MediaPackage,1
Batch,1
Chime,1
IoTAnalytics,1
SAP,1
MediaLive,1
GlobalAccelerator,1
ServerlessApplicationRepository,1
RAM,1
UserConsumerAlexaGoogleHome,1
RoboMaker,1
LakeFormation,1
DevTools,1
WorkSpaces,1
NAT,1
MemoryDB,1
Grafana,1
