Flujo (Origen -> Destino),Frecuencia
ApiGateway -> Lambda,31
Lambda -> DynamoDB,30
DynamoDB -> Lambda,23
Lambda -> S3,23
EC2 -> S3,22
S3 -> Lambda,21
SQS -> Lambda,18
Lambda -> SQS,16
CloudFront -> S3,15
EC2 -> EC2,15
TransitGateway -> TransitGateway,14
Lambda -> ApiGateway,14
EMR -> S3,13
S3 -> SageMaker,13
EC2 -> RDS,13
Lambda -> ThirdParty,13
S3 -> EC2,12
Lambda -> Lambda,12
S3 -> Athena,12
Glue -> S3,11
SageMaker -> S3,11
EC2 -> SQS,11
StepFunctions -> Lambda,11
Lambda -> EC2,11
S3 -> EMR,11
Kinesis -> Lambda,10
S3 -> CloudFront,10
Lambda -> RDS,10
EC2 -> Aurora,10
Athena -> S3,10
UserConsumerWeb -> CloudFront,10
S3 -> S3,9
UserConsumerMobile -> ApiGateway,9
VPC -> TransitGateway,9
TransitGateway -> VPC,9
Lambda -> Kinesis,9
Firehose -> S3,9
ThirdParty -> EC2,9
EKS -> EC2,9
S3 -> Glue,9
EC2 -> ThirdParty,8
EC2 -> Lambda,8
ThirdParty -> S3,8
Lambda -> SageMaker,8
SageMaker -> Lambda,8
SQS -> EC2,8
RDS -> EC2,8
ThirdParty -> Lambda,8
EC2 -> DynamoDB,7
Kinesis -> S3,7
Lambda -> OpenSearch,7
ALB -> ECS,7
S3 -> EKS,7
CloudFront -> UserConsumerWeb,7
Aurora -> EKS,7
ELB -> EC2,7
Lambda -> Aurora,7
Aurora -> Lambda,6
S3 -> ThirdParty,6
DynamoDB -> EC2,6
EC2 -> EKS,6
ThirdParty -> ThirdParty,6
ThirdParty -> DirectConnect,6
CloudWatch -> Lambda,6
ECS -> Lambda,6
RDS -> Lambda,6
ThirdParty -> ApiGateway,6
EKS -> Aurora,6
DirectConnect -> TransitGateway,5
ThirdParty -> TransitGateway,5
UserConsumerWeb -> ThirdParty,5
UserCompanyDeveloper -> ThirdParty,5
ThirdParty -> UserConsumerMobile,5
ECS -> DynamoDB,5
EKS -> ElastiCache,5
UserCompanyAgent -> ThirdParty,5
SQS -> EKS,5
S3 -> ECS,5
CloudFront -> LambdaAtEdge,5
ECS -> ElastiCache,5
Lambda -> ECS,5
SNS -> SQS,5
Lambda -> CloudFront,5
ApiGateway -> UserConsumerMobile,5
ALB -> EC2,5
ELB -> EKS,5
DirectConnect -> ThirdParty,5
S3 -> RedShift,5
EKS -> EKS,5
UserConsumerWeb -> S3,5
ElastiCache -> EKS,5
UserConsumerWeb -> EC2,5
UserConsumerWeb -> ApiGateway,5
AppSync -> Lambda,4
Lambda -> StepFunctions,4
UserConsumerMobile -> EKS,4
EKS -> ThirdParty,4
LambdaAtEdge -> CloudFront,4
LambdaAtEdge -> DynamoDB,4
Lambda -> UserConsumerMobile,4
DynamoDB -> LambdaAtEdge,4
ECS -> S3,4
ElastiCache -> ECS,4
ALB -> EKS,4
ThirdParty -> OpenSearch,4
Lambda -> ElastiCache,4
ThirdParty -> EMR,4
TransitGateway -> DirectConnect,4
TransitGateway -> ThirdParty,4
Aurora -> EC2,4
S3 -> Firehose,4
EKS -> RDS,4
S3 -> SQS,4
ECS -> Aurora,4
Aurora -> ECS,4
EKS -> DynamoDB,4
CloudFormation -> Lambda,4
ThirdParty -> UserCompanyDeveloper,4
UserConsumerMobile -> ALB,4
ECR -> EKS,4
EC2 -> ElastiCache,4
UserConsumerMobile -> Kinesis,4
EKS -> S3,4
UserCompanyAnalyst -> SageMaker,4
EC2 -> EFS,4
SQS -> ECS,4
UserConsumerMobile -> ThirdParty,4
Lambda -> SNS,4
EC2 -> UserConsumerWeb,3
EKS -> SQS,3
UserConsumerWebMobile -> ApiGateway,3
DynamoDB -> EKS,3
UserCompanyDeveloper -> EC2,3
SQS -> Fargate,3
ThirdParty -> RDS,3
Fargate -> RDS,3
DirectConnect -> EC2,3
EventBridge -> StepFunctions,3
ApiGateway -> ECS,3
UserConsumerWeb -> ECS,3
SNS -> Lambda,3
DMS -> S3,3
ThirdParty -> UserConsumerWeb,3
UserCompanyDataStream -> S3,3
SageMaker -> ModelRegistry,3
UserCompanyAnalyst -> Athena,3
Athena -> UserCompanyAnalyst,3
Lambda -> DocumentDB,3
RDS -> Fargate,3
