video_id,gt_name,gen_nodes,gt_nodes,perm_svc_precision,perm_svc_recall,perm_svc_f1,perm_ms_f1,perm_edge_precision,perm_edge_recall,perm_edge_f1,gen_base_edges_count,gt_base_edges_count,services_correct,services_missing,services_hallucinated,base_edges_correct,base_edges_missing,base_edges_hallucinated
-3lnf5lzsH0,MakeMyTrip: Building Next Generation SOC,14,13,1.0,0.8333333333333334,0.9090909090909091,0.8148148148148148,0.7272727272727273,0.6153846153846154,0.6666666666666667,11,13,"['Athena', 'CloudTrail', 'EMR', 'GuardDuty', 'S3', 'SNS', 'SQS', 'ThirdParty', 'User', 'WAF']","['EC2', 'OnPremDC']",[],"['Athena<->S3', 'CloudTrail<->ThirdParty', 'EMR<->S3', 'EMR<->ThirdParty', 'GuardDuty<->ThirdParty', 'S3<->ThirdParty', 'SNS<->ThirdParty', 'SQS<->ThirdParty']","['Athena<->ThirdParty', 'EC2<->ThirdParty', 'EC2<->User', 'EC2<->WAF', 'OnPremDC<->ThirdParty']","['ThirdParty<->ThirdParty', 'ThirdParty<->User', 'ThirdParty<->WAF']"
-kA0ahrhX3I,Oportun: Increasing the Accuracy of SensitiveData Discovery Using Amazon Macie,11,9,1.0,1.0,1.0,0.9,0.36363636363636365,0.8,0.5000000000000001,11,5,"['Athena', 'Glue', 'Macie', 'QuickSight', 'S3', 'ThirdParty', 'User']",[],[],"['Athena<->Glue', 'Athena<->S3', 'Macie<->S3', 'QuickSight<->S3']",['S3<->ThirdParty'],"['Athena<->QuickSight', 'Athena<->ThirdParty', 'Athena<->User', 'Glue<->S3', 'Macie<->Macie', 'QuickSight<->User', 'S3<->User']"
-wLEkq21cvA,Versent: The Migration Factory,11,9,0.625,1.0,0.7692307692307693,0.7999999999999999,0.5,0.8333333333333334,0.625,10,6,"['AppDiscovery', 'DynamoDB', 'EC2', 'ThirdParty', 'User']",[],"['AMI', 'CloudWatch', 'OnPremDC']","['AppDiscovery<->EC2', 'DynamoDB<->User', 'EC2<->EC2', 'EC2<->ThirdParty', 'ThirdParty<->User']",['AppDiscovery<->ThirdParty'],"['AMI<->EC2', 'AppDiscovery<->OnPremDC', 'CloudWatch<->EC2', 'DynamoDB<->EC2', 'OnPremDC<->ThirdParty']"
07lfvavMdfU,Levels Beyond: Digital Content Orchestration,11,10,0.9090909090909091,1.0,0.9523809523809523,0.9523809523809523,0.6923076923076923,0.75,0.7199999999999999,13,12,"['Comprehend', 'DynamoDB', 'EC2', 'EKS', 'MediaConvert', 'Rekognition', 'S3', 'StepFunctions', 'Transcribe', 'User']",[],['Lambda'],"['Comprehend<->DynamoDB', 'Comprehend<->Transcribe', 'DynamoDB<->EC2', 'DynamoDB<->Rekognition', 'MediaConvert<->StepFunctions', 'Rekognition<->StepFunctions', 'S3<->StepFunctions', 'S3<->User', 'StepFunctions<->Transcribe']","['DynamoDB<->EKS', 'DynamoDB<->StepFunctions', 'DynamoDB<->Transcribe']","['DynamoDB<->Lambda', 'DynamoDB<->MediaConvert', 'EC2<->EKS', 'Lambda<->StepFunctions']"
1aYoIZvabbk,OLX Autos: Building Developer Platform for Rapid Global Expansion,7,6,0.8571428571428571,1.0,0.923076923076923,0.923076923076923,0.7142857142857143,1.0,0.8333333333333333,7,5,"['ALB', 'EKS', 'Route53', 'SNS', 'SQS', 'User']",[],['EC2'],"['ALB<->EKS', 'ALB<->Route53', 'EKS<->SNS', 'Route53<->User', 'SNS<->SQS']",[],"['EC2<->EKS', 'EKS<->SQS']"
2L0m28ZLmtE,Sanofi with TeamWork: OnDemand Data Science Environment,14,13,0.9230769230769231,1.0,0.9600000000000001,0.962962962962963,0.7142857142857143,1.0,0.8333333333333333,14,10,"['ApiGateway', 'CloudFront', 'Cognito', 'Comprehend', 'DynamoDB', 'EC2', 'Lambda', 'S3', 'SageMaker', 'ServiceCatalog', 'ThirdParty', 'Translate']",[],['User'],"['ApiGateway<->DynamoDB', 'ApiGateway<->S3', 'CloudFront<->S3', 'Cognito<->S3', 'Cognito<->ThirdParty', 'Comprehend<->Lambda', 'EC2<->ServiceCatalog', 'Lambda<->Translate', 'S3<->ServiceCatalog', 'SageMaker<->ServiceCatalog']",[],"['ApiGateway<->Lambda', 'CloudFront<->User', 'EC2<->S3', 'S3<->SageMaker']"
2e3vOxsHekE,Mueller Water Products: A Water Intelligent Platform,6,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,5,"['ApiGateway', 'ECS', 'S3', 'SageMaker', 'User']",[],[],"['ApiGateway<->S3', 'ApiGateway<->User', 'ECS<->S3', 'ECS<->SageMaker', 'SageMaker<->User']",[],[]
6CgqEzyWpeA,SundaySky: Create Personalized Videos in Real Time on GPU-based Spot Instances for Video Rendering,13,12,0.9,1.0,0.9473684210526316,0.9600000000000001,0.8461538461538461,1.0,0.9166666666666666,13,11,"['ApiGateway', 'CloudFront', 'CloudWatch', 'EC2', 'Lambda', 'S3', 'SQS', 'StepFunctions', 'User']",[],['AutoScaling'],"['ApiGateway<->Lambda', 'ApiGateway<->User', 'CloudFront<->S3', 'CloudFront<->User', 'CloudWatch<->Lambda', 'EC2<->Lambda', 'EC2<->S3', 'EC2<->SQS', 'Lambda<->SQS', 'Lambda<->StepFunctions', 'Lambda<->User']",[],"['AutoScaling<->Lambda', 'CloudWatch<->EC2']"
6EUknQqaV1w,CloudHealth by VMware: Secure State. Manages Over 50M Assets from Billions of Events on AWS,10,9,0.875,1.0,0.9333333333333333,0.9473684210526316,0.8333333333333334,1.0,0.9090909090909091,12,10,"['CloudWatch', 'DynamoDB', 'KinesisDataStream', 'Neptune', 'OpenSearch', 'ThirdParty', 'User']",[],['SES'],"['CloudWatch<->Neptune', 'CloudWatch<->OpenSearch', 'CloudWatch<->ThirdParty', 'DynamoDB<->KinesisDataStream', 'DynamoDB<->Neptune', 'KinesisDataStream<->KinesisDataStream', 'KinesisDataStream<->Neptune', 'KinesisDataStream<->ThirdParty', 'KinesisDataStream<->User', 'Neptune<->OpenSearch']",[],"['KinesisDataStream<->SES', 'Neptune<->ThirdParty']"
6YkguepAQuQ,Aetion: Deploy Applications  Provision Cloud Resources with AWS Developer Tools,10,10,1.0,1.0,1.0,1.0,0.3,0.6,0.4,10,5,"['ALB', 'CloudFormation', 'CodeBuild', 'CodeCommit', 'CodePipeline', 'ECR', 'ECS', 'IAM', 'User', 'VPC']",[],[],"['CloudFormation<->VPC', 'CodeBuild<->ECR', 'CodeCommit<->User']","['CloudFormation<->ECR', 'CodeBuild<->CodeCommit']","['ALB<->CloudFormation', 'CloudFormation<->CodePipeline', 'CloudFormation<->ECS', 'CloudFormation<->IAM', 'CodeBuild<->CodePipeline', 'CodeCommit<->CodePipeline', 'ECR<->ECS']"
