service,capability,gt_appearances,times_correct,times_missed,times_hallucinated,recall,precision,net_error
UserConsumerWeb,User,14,3,11,10,0.21428571428571427,0.23076923076923078,-1
UserCompanyDataStream,User,10,1,9,1,0.1,0.5,-8
UserConsumerMobile,User,12,4,8,2,0.3333333333333333,0.6666666666666666,-6
EC2,compute,20,15,5,5,0.75,0.75,0
UserCompanyAnalyst,User,6,1,5,7,0.16666666666666666,0.125,2
UserCompanyAgent,User,8,3,5,8,0.375,0.2727272727272727,3
UserConsumerAPI,User,4,0,4,0,0.0,,-4
ThirdParty,ThirdParty,24,20,4,15,0.8333333333333334,0.5714285714285714,11
S3,storage,35,32,3,0,0.9142857142857143,1.0,-3
ALB,networking,7,4,3,0,0.5714285714285714,1.0,-3
UserCompanyDeveloper,User,8,5,3,3,0.625,0.625,0
UserCompanyAPI,User,3,0,3,3,0.0,0.0,0
Kinesis,integration,4,2,2,1,0.5,0.6666666666666666,-1
OpenSearch,compute,5,3,2,0,0.6,1.0,-2
VPC,networking,3,1,2,1,0.3333333333333333,0.5,-1
UserConsumerEdge,User,2,0,2,0,0.0,,-2
EKS,compute,9,7,2,1,0.7777777777777778,0.875,-1
UserCompanyEdge,User,2,0,2,0,0.0,,-2
Fargate,compute,1,0,1,0,0.0,,-1
ModelRegistry,other,1,0,1,0,0.0,,-1
UserCompanyDrone,User,1,0,1,0,0.0,,-1
UserCompanyInternalPlatform,User,1,0,1,2,0.0,0.0,1
UserCompanyCRM,User,1,0,1,0,0.0,,-1
StorageGateway,integration,2,1,1,0,0.5,1.0,-1
KinesisDataStream,integration,1,0,1,2,0.0,0.0,1
Lambda,compute,27,26,1,3,0.9629629629629629,0.896551724137931,2
SNS,integration,8,7,1,0,0.875,1.0,-1
UserConsumerPOS,User,1,0,1,1,0.0,0.0,0
VPCPeering,networking,1,0,1,1,0.0,0.0,0
UserConsumerWebMobile,User,1,0,1,13,0.0,0.0,12
SQS,integration,12,11,1,0,0.9166666666666666,1.0,-1
OnPremDC,OnPremDC,1,0,1,2,0.0,0.0,1
MediaConvert,compute,1,0,1,0,0.0,,-1
CloudFormation,control,2,1,1,0,0.5,1.0,-1
IAM,control,2,1,1,1,0.5,0.5,0
AppDiscovery,other,1,0,1,0,0.0,,-1
ECS,compute,4,3,1,1,0.75,0.75,0
ECR,other,2,1,1,0,0.5,1.0,-1
Aurora,storage,2,2,0,0,1.0,1.0,0
Athena,compute,8,8,0,0,1.0,1.0,0
GuardDuty,control,1,1,0,0,1.0,1.0,0
Glue,integration,4,4,0,0,1.0,1.0,0
Firehose,integration,2,2,0,0,1.0,1.0,0
FSX,storage,1,1,0,0,1.0,1.0,0
ElastiCache,storage,6,6,0,0,1.0,1.0,0
EventBridge,integration,1,1,0,0,1.0,1.0,0
ELB,networking,5,5,0,0,1.0,1.0,0
EMR,compute,7,7,0,0,1.0,1.0,0
EFS,storage,1,1,0,0,1.0,1.0,0
EBS,storage,1,1,0,0,1.0,1.0,0
Connect,other,4,4,0,0,1.0,1.0,0
DMS,other,1,1,0,0,1.0,1.0,0
DevTools,other,1,1,0,0,1.0,1.0,0
DirectConnect,networking,1,1,0,0,1.0,1.0,0
DocumentDB,storage,1,1,0,0,1.0,1.0,0
DynamoDB,storage,17,17,0,0,1.0,1.0,0
CodePipeline,other,2,2,0,0,1.0,1.0,0
CodeCommit,other,1,1,0,0,1.0,1.0,0
CodeBuild,other,2,2,0,0,1.0,1.0,0
CloudWatch,control,8,8,0,2,1.0,0.8,2
CloudTrail,control,2,2,0,0,1.0,1.0,0
CloudFront,networking,11,11,0,0,1.0,1.0,0
Comprehend,compute,4,4,0,0,1.0,1.0,0
Cognito,control,1,1,0,0,1.0,1.0,0
AutoScaling,control,1,1,0,1,1.0,0.5,1
AppSync,integration,2,2,0,0,1.0,1.0,0
Amplify,other,1,1,0,0,1.0,1.0,0
AmazonMQ,integration,1,1,0,0,1.0,1.0,0
ApiGateway,networking,10,10,0,3,1.0,0.7692307692307693,3
LambdaAtEdge,compute,1,1,0,0,1.0,1.0,0
Macie,control,1,1,0,1,1.0,0.5,1
LakeFormation,control,1,1,0,0,1.0,1.0,0
SageMaker,compute,8,8,0,1,1.0,0.8888888888888888,1
SES,other,0,0,0,2,,0.0,2
Route53,networking,3,3,0,0,1.0,1.0,0
SAP,Partner,1,1,0,1,1.0,0.5,1
Rekognition,compute,2,2,0,0,1.0,1.0,0
RAM,control,1,1,0,0,1.0,1.0,0
RDS,storage,10,10,0,2,1.0,0.8333333333333334,2
RedShift,storage,6,6,0,0,1.0,1.0,0
NLB,networking,1,1,0,0,1.0,1.0,0
Neptune,storage,1,1,0,0,1.0,1.0,0
QuickSight,other,3,3,0,0,1.0,1.0,0
Lex,other,2,2,0,1,1.0,0.6666666666666666,1
MediaLive,compute,1,1,0,0,1.0,1.0,0
MediaPackage,compute,1,1,0,0,1.0,1.0,0
MediaStore,storage,1,1,0,0,1.0,1.0,0
MongoDBAtlas,Partner,1,1,0,0,1.0,1.0,0
IoTCore,networking,1,1,0,0,1.0,1.0,0
KinesisAnalytics,compute,1,1,0,0,1.0,1.0,0
KMS,control,2,2,0,0,1.0,1.0,0
ServiceCatalog,control,1,1,0,0,1.0,1.0,0
StepFunctions,compute,4,4,0,1,1.0,0.8,1
ShieldAdvanced,networking,1,1,0,0,1.0,1.0,0
SystemsManager,control,1,1,0,1,1.0,0.5,1
Transcribe,compute,3,3,0,0,1.0,1.0,0
UserCompanyDomainExpert,User,0,0,0,2,,0.0,2
Translate,compute,1,1,0,0,1.0,1.0,0
SecurityHub,control,0,0,0,1,,0.0,1
UserCompanyElementalLiveDevice,User,0,0,0,1,,0.0,1
UserConsumerHospital,User,0,0,0,2,,0.0,2
UserConsumerAlexaGoogleHome,User,1,1,0,0,1.0,1.0,0
UserConsumerIOT,User,0,0,0,1,,0.0,1
WAF,networking,3,3,0,0,1.0,1.0,0
