video_id,title,category,gen_nodes,gt_nodes,svc_precision,svc_recall,svc_f1,gen_edges,gt_edges,edge_precision,edge_recall,edge_f1,is_zero_edge_gt
-3lnf5lzsH0,Video -3lnf5lzsH0,Uncategorized,9,13,0.75,0.5,0.6,9,16,0.5555555555555556,0.3125,0.39999999999999997,False
-ahWdCysMYw,Video -ahWdCysMYw,Uncategorized,7,8,0.8571428571428571,0.75,0.7999999999999999,6,9,0.8333333333333334,0.5555555555555556,0.6666666666666667,False
-kA0ahrhX3I,Video -kA0ahrhX3I,Uncategorized,11,9,0.7142857142857143,0.7142857142857143,0.7142857142857143,5,8,0.6,0.375,0.4615384615384615,False
-S-R7MWRpaI,Video -S-R7MWRpaI,Uncategorized,10,8,0.625,0.7142857142857143,0.6666666666666666,9,11,0.3333333333333333,0.2727272727272727,0.3,False
-wLEkq21cvA,Video -wLEkq21cvA,Uncategorized,11,9,0.5714285714285714,0.8,0.6666666666666666,11,10,0.45454545454545453,0.5,0.47619047619047616,False
07lfvavMdfU,Video 07lfvavMdfU,Uncategorized,10,10,1.0,1.0,1.0,11,14,0.9090909090909091,0.7142857142857143,0.8,False
0F7KDLz-kIQ,Video 0F7KDLz-kIQ,Uncategorized,14,13,0.8333333333333334,0.9090909090909091,0.8695652173913043,18,28,0.7777777777777778,0.5,0.6086956521739131,False
0gNMEyei-co,Video 0gNMEyei-co,Uncategorized,9,9,0.875,0.7777777777777778,0.823529411764706,11,13,0.7272727272727273,0.6153846153846154,0.6666666666666667,False
0JxJpNjI9Y0,Video 0JxJpNjI9Y0,Uncategorized,10,9,0.75,0.8571428571428571,0.7999999999999999,10,17,0.7,0.4117647058823529,0.5185185185185185,False
0wnNlOg42dc,Video 0wnNlOg42dc,Uncategorized,9,8,0.8888888888888888,1.0,0.9411764705882353,9,12,0.8888888888888888,0.6666666666666666,0.761904761904762,False
1aYoIZvabbk,Video 1aYoIZvabbk,Uncategorized,7,6,0.8571428571428571,1.0,0.923076923076923,7,5,0.5714285714285714,0.8,0.6666666666666666,False
1kWxymroGeE,Video 1kWxymroGeE,Uncategorized,9,5,0.8333333333333334,1.0,0.9090909090909091,12,4,0.3333333333333333,1.0,0.5,False
1xLjtJnfZes,Video 1xLjtJnfZes,Uncategorized,8,8,0.8571428571428571,0.75,0.7999999999999999,5,6,0.6,0.5,0.5454545454545454,False
1ZLiRT0C2Yo,Video 1ZLiRT0C2Yo,Uncategorized,7,6,0.8571428571428571,1.0,0.923076923076923,6,0,0.0,0.0,0.0,True
2e3vOxsHekE,Video 2e3vOxsHekE,Uncategorized,6,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,4,6,0.75,0.5,0.6,False
2f_NYiPJQt4,Video 2f_NYiPJQt4,Uncategorized,11,10,0.9090909090909091,1.0,0.9523809523809523,6,9,0.6666666666666666,0.4444444444444444,0.5333333333333333,False
2L0m28ZLmtE,Video 2L0m28ZLmtE,Uncategorized,14,13,0.9230769230769231,1.0,0.9600000000000001,12,11,0.8333333333333334,0.9090909090909091,0.8695652173913043,False
2XVgpMwY5iE,Video 2XVgpMwY5iE,Uncategorized,8,7,0.7142857142857143,0.7142857142857143,0.7142857142857143,9,12,0.5555555555555556,0.4166666666666667,0.4761904761904762,False
37T7Nd8pL-c,Video 37T7Nd8pL-c,Uncategorized,7,8,0.8571428571428571,0.8571428571428571,0.8571428571428571,9,12,0.5555555555555556,0.4166666666666667,0.4761904761904762,False
3WgTBTDlQN8,Video 3WgTBTDlQN8,Uncategorized,10,9,0.7,0.7777777777777778,0.7368421052631577,9,14,0.5555555555555556,0.35714285714285715,0.43478260869565216,False
3yJZ6rPoZfg,Video 3yJZ6rPoZfg,Uncategorized,8,7,0.5,0.5,0.5,7,9,0.2857142857142857,0.2222222222222222,0.25,False
4-teOQ_dJvY,Video 4-teOQ_dJvY,Uncategorized,9,9,0.6666666666666666,0.5714285714285714,0.6153846153846153,11,13,0.36363636363636365,0.3076923076923077,0.33333333333333337,False
4WjXH8Wp0E4,Video 4WjXH8Wp0E4,Uncategorized,13,14,0.8888888888888888,0.8,0.8421052631578948,12,22,0.75,0.4090909090909091,0.5294117647058824,False
53sUjFv9ByI,Video 53sUjFv9ByI,Uncategorized,6,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,6,6,0.5,0.5,0.5,False
5CwIt-Alqhg,Video 5CwIt-Alqhg,Uncategorized,11,11,0.9090909090909091,0.9090909090909091,0.9090909090909091,10,12,0.9,0.75,0.8181818181818182,False
5EmA67lSJEs,Video 5EmA67lSJEs,Uncategorized,10,11,0.875,0.875,0.875,12,20,0.6666666666666666,0.4,0.5,False
5f3z1Z_9BJA,Video 5f3z1Z_9BJA,Uncategorized,11,11,0.8571428571428571,0.8571428571428571,0.8571428571428571,13,17,0.9230769230769231,0.7058823529411765,0.8000000000000002,False
5vR5aN_xdI0,Video 5vR5aN_xdI0,Uncategorized,9,9,1.0,0.8571428571428571,0.923076923076923,4,10,0.5,0.2,0.28571428571428575,False
62E9ggjGS8I,Video 62E9ggjGS8I,Uncategorized,7,7,0.8333333333333334,0.8333333333333334,0.8333333333333334,4,9,0.5,0.2222222222222222,0.30769230769230765,False
66fPHLmvikk,Video 66fPHLmvikk,Uncategorized,11,7,0.8333333333333334,0.8333333333333334,0.8333333333333334,12,8,0.5,0.75,0.6,False
6CgqEzyWpeA,Video 6CgqEzyWpeA,Uncategorized,12,12,0.8888888888888888,0.8888888888888888,0.8888888888888888,16,19,0.625,0.5263157894736842,0.5714285714285714,False
6EUknQqaV1w,Video 6EUknQqaV1w,Uncategorized,8,9,1.0,0.8571428571428571,0.923076923076923,11,11,0.8181818181818182,0.8181818181818182,0.8181818181818182,False
6iK4WNj6QqI,Video 6iK4WNj6QqI,Uncategorized,7,6,0.8571428571428571,1.0,0.923076923076923,8,10,0.375,0.3,0.33333333333333326,False
6LcSv9XocTY,Video 6LcSv9XocTY,Uncategorized,10,11,0.875,0.7777777777777778,0.823529411764706,8,18,0.75,0.3333333333333333,0.46153846153846156,False
6sew_hdI6cY,Video 6sew_hdI6cY,Uncategorized,14,15,1.0,0.9230769230769231,0.9600000000000001,10,18,1.0,0.5555555555555556,0.7142857142857143,False
6sY0AunanlM,Video 6sY0AunanlM,Uncategorized,8,4,0.6666666666666666,1.0,0.8,8,0,0.0,0.0,0.0,True
6YkguepAQuQ,Video 6YkguepAQuQ,Uncategorized,10,10,1.0,1.0,1.0,4,10,0.75,0.3,0.4285714285714285,False
7dtomip_VXc,Video 7dtomip_VXc,Uncategorized,8,8,1.0,1.0,1.0,6,11,1.0,0.5454545454545454,0.7058823529411764,False
7LziNjUTo7w,Video 7LziNjUTo7w,Uncategorized,9,9,0.8888888888888888,1.0,0.9411764705882353,9,16,0.7777777777777778,0.4375,0.56,False
7V8wTCkjOqo,Video 7V8wTCkjOqo,Uncategorized,8,7,0.7142857142857143,0.8333333333333334,0.7692307692307692,3,7,0.3333333333333333,0.14285714285714285,0.2,False
7wBOFcP1HwA,Video 7wBOFcP1HwA,Uncategorized,11,10,0.5454545454545454,0.6666666666666666,0.6,10,10,0.3,0.3,0.3,False
8s0wGRkiDrw,Video 8s0wGRkiDrw,Uncategorized,8,5,0.75,0.75,0.75,7,4,0.2857142857142857,0.5,0.36363636363636365,False
8TExnSvZqt0,Video 8TExnSvZqt0,Uncategorized,11,11,0.6363636363636364,0.6363636363636364,0.6363636363636364,4,0,0.0,0.0,0.0,True
