missing_service,hallucinated_instead,capability,co_occurrences
UserConsumerWeb,UserConsumerWebMobile,User,6
UserConsumerMobile,UserConsumerWebMobile,User,4
UserCompanyDeveloper,UserConsumerWeb,User,3
UserConsumerWeb,UserCompanyAgent,User,3
UserConsumerMobile,UserCompanyAnalyst,User,3
UserCompanyAnalyst,UserConsumerWeb,User,2
UserCompanyDataStream,UserConsumerHospital,User,2
Kinesis,KinesisDataStream,integration,2
UserConsumerWeb,UserCompanyAnalyst,User,2
UserCompanyAgent,UserConsumerWeb,User,1
MediaConvert,Lambda,compute,1
Fargate,ECS,compute,1
UserCompanyDataStream,UserConsumerMobile,User,1
UserConsumerAPI,UserConsumerMobile,User,1
UserCompanyDataStream,UserCompanyDomainExpert,User,1
UserCompanyAgent,UserConsumerHospital,User,1
UserCompanyAgent,UserCompanyDomainExpert,User,1
UserConsumerEdge,UserConsumerWeb,User,1
UserCompanyAPI,UserConsumerWebMobile,User,1
VPC,VPCPeering,networking,1
UserConsumerEdge,UserConsumerWebMobile,User,1
UserCompanyAPI,UserCompanyInternalPlatform,User,1
UserCompanyEdge,UserCompanyInternalPlatform,User,1
UserConsumerAPI,UserCompanyAgent,User,1
UserCompanyDataStream,UserCompanyAnalyst,User,1
